,Date,SettlementPoint,Price
0,2016-01-01 00:00:00,HB_BUSAVG,18.42
14,2016-01-01 01:00:00,HB_BUSAVG,16.15
28,2016-01-01 02:00:00,HB_BUSAVG,15.61
42,2016-01-01 03:00:00,HB_BUSAVG,15.62
56,2016-01-01 04:00:00,HB_BUSAVG,15.94
70,2016-01-01 05:00:00,HB_BUSAVG,16.69
84,2016-01-01 06:00:00,HB_BUSAVG,18.96
98,2016-01-01 07:00:00,HB_BUSAVG,19.18
112,2016-01-01 08:00:00,HB_BUSAVG,19.09
126,2016-01-01 09:00:00,HB_BUSAVG,19.66
140,2016-01-01 10:00:00,HB_BUSAVG,20.6
154,2016-01-01 11:00:00,HB_BUSAVG,20.61
168,2016-01-01 12:00:00,HB_BUSAVG,20.31
182,2016-01-01 13:00:00,HB_BUSAVG,20.07
196,2016-01-01 14:00:00,HB_BUSAVG,19.09
210,2016-01-01 15:00:00,HB_BUSAVG,19.34
224,2016-01-01 16:00:00,HB_BUSAVG,20.07
238,2016-01-01 17:00:00,HB_BUSAVG,24.96
252,2016-01-01 18:00:00,HB_BUSAVG,26.26
266,2016-01-01 19:00:00,HB_BUSAVG,23.24
280,2016-01-01 20:00:00,HB_BUSAVG,22.79
294,2016-01-01 21:00:00,HB_BUSAVG,21.36
308,2016-01-01 22:00:00,HB_BUSAVG,20.31
322,2016-01-01 23:00:00,HB_BUSAVG,19.65
336,2016-01-02 00:00:00,HB_BUSAVG,18.99
350,2016-01-02 01:00:00,HB_BUSAVG,17.94
364,2016-01-02 02:00:00,HB_BUSAVG,17.16
378,2016-01-02 03:00:00,HB_BUSAVG,17.0
392,2016-01-02 04:00:00,HB_BUSAVG,17.9
406,2016-01-02 05:00:00,HB_BUSAVG,17.65
420,2016-01-02 06:00:00,HB_BUSAVG,20.11
434,2016-01-02 07:00:00,HB_BUSAVG,21.33
448,2016-01-02 08:00:00,HB_BUSAVG,23.41
462,2016-01-02 09:00:00,HB_BUSAVG,24.87
476,2016-01-02 10:00:00,HB_BUSAVG,23.4
490,2016-01-02 11:00:00,HB_BUSAVG,21.84
504,2016-01-02 12:00:00,HB_BUSAVG,20.78
518,2016-01-02 13:00:00,HB_BUSAVG,19.68
532,2016-01-02 14:00:00,HB_BUSAVG,18.29
546,2016-01-02 15:00:00,HB_BUSAVG,17.94
560,2016-01-02 16:00:00,HB_BUSAVG,19.34
574,2016-01-02 17:00:00,HB_BUSAVG,23.48
588,2016-01-02 18:00:00,HB_BUSAVG,23.48
602,2016-01-02 19:00:00,HB_BUSAVG,21.73
616,2016-01-02 20:00:00,HB_BUSAVG,20.73
630,2016-01-02 21:00:00,HB_BUSAVG,19.97
644,2016-01-02 22:00:00,HB_BUSAVG,19.87
658,2016-01-02 23:00:00,HB_BUSAVG,18.43
672,2016-01-03 00:00:00,HB_BUSAVG,17.44
686,2016-01-03 01:00:00,HB_BUSAVG,16.46
700,2016-01-03 02:00:00,HB_BUSAVG,16.18
714,2016-01-03 03:00:00,HB_BUSAVG,16.35
728,2016-01-03 04:00:00,HB_BUSAVG,17.01
742,2016-01-03 05:00:00,HB_BUSAVG,17.7
756,2016-01-03 06:00:00,HB_BUSAVG,19.28
770,2016-01-03 07:00:00,HB_BUSAVG,20.03
784,2016-01-03 08:00:00,HB_BUSAVG,20.17
798,2016-01-03 09:00:00,HB_BUSAVG,20.22
812,2016-01-03 10:00:00,HB_BUSAVG,19.85
826,2016-01-03 11:00:00,HB_BUSAVG,18.66
840,2016-01-03 12:00:00,HB_BUSAVG,17.14
854,2016-01-03 13:00:00,HB_BUSAVG,16.33
868,2016-01-03 14:00:00,HB_BUSAVG,16.04
882,2016-01-03 15:00:00,HB_BUSAVG,15.97
896,2016-01-03 16:00:00,HB_BUSAVG,16.98
910,2016-01-03 17:00:00,HB_BUSAVG,21.26
924,2016-01-03 18:00:00,HB_BUSAVG,21.87
938,2016-01-03 19:00:00,HB_BUSAVG,20.88
952,2016-01-03 20:00:00,HB_BUSAVG,20.25
966,2016-01-03 21:00:00,HB_BUSAVG,19.69
980,2016-01-03 22:00:00,HB_BUSAVG,18.78
994,2016-01-03 23:00:00,HB_BUSAVG,18.14
1008,2016-01-04 00:00:00,HB_BUSAVG,17.01
1022,2016-01-04 01:00:00,HB_BUSAVG,17.07
1036,2016-01-04 02:00:00,HB_BUSAVG,17.47
1050,2016-01-04 03:00:00,HB_BUSAVG,18.0
1064,2016-01-04 04:00:00,HB_BUSAVG,19.34
1078,2016-01-04 05:00:00,HB_BUSAVG,21.79
1092,2016-01-04 06:00:00,HB_BUSAVG,53.72
1106,2016-01-04 07:00:00,HB_BUSAVG,35.84
1120,2016-01-04 08:00:00,HB_BUSAVG,24.43
1134,2016-01-04 09:00:00,HB_BUSAVG,23.83
1148,2016-01-04 10:00:00,HB_BUSAVG,21.87
1162,2016-01-04 11:00:00,HB_BUSAVG,20.28
1176,2016-01-04 12:00:00,HB_BUSAVG,19.03
1190,2016-01-04 13:00:00,HB_BUSAVG,17.5
1204,2016-01-04 14:00:00,HB_BUSAVG,16.44
1218,2016-01-04 15:00:00,HB_BUSAVG,16.52
