,Date,SettlementPoint,Price
1,2016-01-01 00:00:00,HB_HOUSTON,18.42
15,2016-01-01 01:00:00,HB_HOUSTON,16.15
29,2016-01-01 02:00:00,HB_HOUSTON,15.61
43,2016-01-01 03:00:00,HB_HOUSTON,15.62
57,2016-01-01 04:00:00,HB_HOUSTON,15.94
71,2016-01-01 05:00:00,HB_HOUSTON,16.69
85,2016-01-01 06:00:00,HB_HOUSTON,18.96
99,2016-01-01 07:00:00,HB_HOUSTON,19.18
113,2016-01-01 08:00:00,HB_HOUSTON,19.08
127,2016-01-01 09:00:00,HB_HOUSTON,19.66
141,2016-01-01 10:00:00,HB_HOUSTON,20.6
155,2016-01-01 11:00:00,HB_HOUSTON,20.61
169,2016-01-01 12:00:00,HB_HOUSTON,20.3
183,2016-01-01 13:00:00,HB_HOUSTON,20.07
197,2016-01-01 14:00:00,HB_HOUSTON,19.09
211,2016-01-01 15:00:00,HB_HOUSTON,19.34
225,2016-01-01 16:00:00,HB_HOUSTON,20.07
239,2016-01-01 17:00:00,HB_HOUSTON,24.94
253,2016-01-01 18:00:00,HB_HOUSTON,26.25
267,2016-01-01 19:00:00,HB_HOUSTON,23.24
281,2016-01-01 20:00:00,HB_HOUSTON,22.79
295,2016-01-01 21:00:00,HB_HOUSTON,21.36
309,2016-01-01 22:00:00,HB_HOUSTON,20.32
323,2016-01-01 23:00:00,HB_HOUSTON,19.66
337,2016-01-02 00:00:00,HB_HOUSTON,18.99
351,2016-01-02 01:00:00,HB_HOUSTON,17.94
365,2016-01-02 02:00:00,HB_HOUSTON,17.16
379,2016-01-02 03:00:00,HB_HOUSTON,17.0
393,2016-01-02 04:00:00,HB_HOUSTON,17.9
407,2016-01-02 05:00:00,HB_HOUSTON,17.65
421,2016-01-02 06:00:00,HB_HOUSTON,20.12
435,2016-01-02 07:00:00,HB_HOUSTON,21.34
449,2016-01-02 08:00:00,HB_HOUSTON,23.42
463,2016-01-02 09:00:00,HB_HOUSTON,24.87
477,2016-01-02 10:00:00,HB_HOUSTON,23.4
491,2016-01-02 11:00:00,HB_HOUSTON,21.84
505,2016-01-02 12:00:00,HB_HOUSTON,20.78
519,2016-01-02 13:00:00,HB_HOUSTON,19.68
533,2016-01-02 14:00:00,HB_HOUSTON,18.29
547,2016-01-02 15:00:00,HB_HOUSTON,17.94
561,2016-01-02 16:00:00,HB_HOUSTON,19.34
575,2016-01-02 17:00:00,HB_HOUSTON,23.48
589,2016-01-02 18:00:00,HB_HOUSTON,23.47
603,2016-01-02 19:00:00,HB_HOUSTON,21.73
617,2016-01-02 20:00:00,HB_HOUSTON,20.73
631,2016-01-02 21:00:00,HB_HOUSTON,19.98
645,2016-01-02 22:00:00,HB_HOUSTON,19.87
659,2016-01-02 23:00:00,HB_HOUSTON,18.43
673,2016-01-03 00:00:00,HB_HOUSTON,17.44
687,2016-01-03 01:00:00,HB_HOUSTON,16.45
701,2016-01-03 02:00:00,HB_HOUSTON,16.18
715,2016-01-03 03:00:00,HB_HOUSTON,16.35
729,2016-01-03 04:00:00,HB_HOUSTON,17.01
743,2016-01-03 05:00:00,HB_HOUSTON,17.69
757,2016-01-03 06:00:00,HB_HOUSTON,19.28
771,2016-01-03 07:00:00,HB_HOUSTON,20.04
