,Date,SettlementPoint,Price
3,2016-01-01 00:00:00,HB_NORTH,18.43
17,2016-01-01 01:00:00,HB_NORTH,16.17
31,2016-01-01 02:00:00,HB_NORTH,15.64
45,2016-01-01 03:00:00,HB_NORTH,15.65
59,2016-01-01 04:00:00,HB_NORTH,15.97
73,2016-01-01 05:00:00,HB_NORTH,16.74
87,2016-01-01 06:00:00,HB_NORTH,18.98
101,2016-01-01 07:00:00,HB_NORTH,19.19
115,2016-01-01 08:00:00,HB_NORTH,19.1
129,2016-01-01 09:00:00,HB_NORTH,19.69
143,2016-01-01 10:00:00,HB_NORTH,20.62
157,2016-01-01 11:00:00,HB_NORTH,20.63
171,2016-01-01 12:00:00,HB_NORTH,20.32
185,2016-01-01 13:00:00,HB_NORTH,20.07
199,2016-01-01 14:00:00,HB_NORTH,19.1
213,2016-01-01 15:00:00,HB_NORTH,19.35
227,2016-01-01 16:00:00,HB_NORTH,20.07
241,2016-01-01 17:00:00,HB_NORTH,25.0
255,2016-01-01 18:00:00,HB_NORTH,26.3
269,2016-01-01 19:00:00,HB_NORTH,23.28
283,2016-01-01 20:00:00,HB_NORTH,22.82
297,2016-01-01 21:00:00,HB_NORTH,21.38
311,2016-01-01 22:00:00,HB_NORTH,20.33
325,2016-01-01 23:00:00,HB_NORTH,19.67
339,2016-01-02 00:00:00,HB_NORTH,19.0
353,2016-01-02 01:00:00,HB_NORTH,17.95
367,2016-01-02 02:00:00,HB_NORTH,17.17
381,2016-01-02 03:00:00,HB_NORTH,17.01
395,2016-01-02 04:00:00,HB_NORTH,17.91
409,2016-01-02 05:00:00,HB_NORTH,17.66
423,2016-01-02 06:00:00,HB_NORTH,20.12
437,2016-01-02 07:00:00,HB_NORTH,21.36
451,2016-01-02 08:00:00,HB_NORTH,23.48
465,2016-01-02 09:00:00,HB_NORTH,24.97
479,2016-01-02 10:00:00,HB_NORTH,23.46
493,2016-01-02 11:00:00,HB_NORTH,21.86
507,2016-01-02 12:00:00,HB_NORTH,20.8
521,2016-01-02 13:00:00,HB_NORTH,19.68
535,2016-01-02 14:00:00,HB_NORTH,18.29
549,2016-01-02 15:00:00,HB_NORTH,17.96
563,2016-01-02 16:00:00,HB_NORTH,19.35
577,2016-01-02 17:00:00,HB_NORTH,23.53
591,2016-01-02 18:00:00,HB_NORTH,23.52
605,2016-01-02 19:00:00,HB_NORTH,21.75
619,2016-01-02 20:00:00,HB_NORTH,20.74
633,2016-01-02 21:00:00,HB_NORTH,19.98
647,2016-01-02 22:00:00,HB_NORTH,19.88
661,2016-01-02 23:00:00,HB_NORTH,18.43
675,2016-01-03 00:00:00,HB_NORTH,17.44
689,2016-01-03 01:00:00,HB_NORTH,16.46
703,2016-01-03 02:00:00,HB_NORTH,16.18
717,2016-01-03 03:00:00,HB_NORTH,16.36
731,2016-01-03 04:00:00,HB_NORTH,17.01
745,2016-01-03 05:00:00,HB_NORTH,17.7
759,2016-01-03 06:00:00,HB_NORTH,19.28
773,2016-01-03 07:00:00,HB_NORTH,20.03
787,2016-01-03 08:00:00,HB_NORTH,20.17
801,2016-01-03 09:00:00,HB_NORTH,20.22
815,2016-01-03 10:00:00,HB_NORTH,19.85
829,2016-01-03 11:00:00,HB_NORTH,18.66
843,2016-01-03 12:00:00,HB_NORTH,17.14
857,2016-01-03 13:00:00,HB_NORTH,16.33
871,2016-01-03 14:00:00,HB_NORTH,16.04
885,2016-01-03 15:00:00,HB_NORTH,15.96
899,2016-01-03 16:00:00,HB_NORTH,16.98
913,2016-01-03 17:00:00,HB_NORTH,21.27
927,2016-01-03 18:00:00,HB_NORTH,21.89
941,2016-01-03 19:00:00,HB_NORTH,20.89
955,2016-01-03 20:00:00,HB_NORTH,20.25
969,2016-01-03 21:00:00,HB_NORTH,19.69
983,2016-01-03 22:00:00,HB_NORTH,18.78
997,2016-01-03 23:00:00,HB_NORTH,18.15
1011,2016-01-04 00:00:00,HB_NORTH,17.01
1025,2016-01-04 01:00:00,HB_NORTH,17.08
1039,2016-01-04 02:00:00,HB_NORTH,17.47
1053,2016-01-04 03:00:00,HB_NORTH,18.0
1067,2016-01-04 04:00:00,HB_NORTH,19.34
1081,2016-01-04 05:00:00,HB_NORTH,21.82
1095,2016-01-04 06:00:00,HB_NORTH,53.91
1109,2016-01-04 07:00:00,HB_NORTH,35.95
1123,2016-01-04 08:00:00,HB_NORTH,24.56
