,Date,SettlementPoint,Price
31910,2019-04-06 00:00:00,HB_PAN,15.51
31925,2019-04-06 01:00:00,HB_PAN,16.57
31940,2019-04-06 02:00:00,HB_PAN,15.51
31955,2019-04-06 03:00:00,HB_PAN,14.91
31970,2019-04-06 04:00:00,HB_PAN,17.75
31985,2019-04-06 05:00:00,HB_PAN,20.11
32000,2019-04-06 06:00:00,HB_PAN,18.6
32015,2019-04-06 07:00:00,HB_PAN,18.24
32030,2019-04-06 08:00:00,HB_PAN,20.06
32045,2019-04-06 09:00:00,HB_PAN,21.88
32060,2019-04-06 10:00:00,HB_PAN,23.42
32075,2019-04-06 11:00:00,HB_PAN,22.96
32090,2019-04-06 12:00:00,HB_PAN,20.77
32105,2019-04-06 13:00:00,HB_PAN,20.0
32120,2019-04-06 14:00:00,HB_PAN,22.41
32135,2019-04-06 15:00:00,HB_PAN,22.9
32150,2019-04-06 16:00:00,HB_PAN,27.06
32165,2019-04-06 17:00:00,HB_PAN,27.28
32180,2019-04-06 18:00:00,HB_PAN,27.13
32195,2019-04-06 19:00:00,HB_PAN,27.39
32210,2019-04-06 20:00:00,HB_PAN,27.03
32225,2019-04-06 21:00:00,HB_PAN,18.24
32240,2019-04-06 22:00:00,HB_PAN,18.55
32255,2019-04-06 23:00:00,HB_PAN,17.41
32270,2019-04-07 00:00:00,HB_PAN,18.52
32285,2019-04-07 01:00:00,HB_PAN,17.15
32300,2019-04-07 02:00:00,HB_PAN,16.73
32315,2019-04-07 03:00:00,HB_PAN,16.13
32330,2019-04-07 04:00:00,HB_PAN,16.68
32345,2019-04-07 05:00:00,HB_PAN,17.92
32360,2019-04-07 06:00:00,HB_PAN,17.31
32375,2019-04-07 07:00:00,HB_PAN,18.91
32390,2019-04-07 08:00:00,HB_PAN,20.37
32405,2019-04-07 09:00:00,HB_PAN,20.54
32420,2019-04-07 10:00:00,HB_PAN,21.29
32435,2019-04-07 11:00:00,HB_PAN,20.66
32450,2019-04-07 12:00:00,HB_PAN,19.38
32465,2019-04-07 13:00:00,HB_PAN,20.27
32480,2019-04-07 14:00:00,HB_PAN,24.14
32495,2019-04-07 15:00:00,HB_PAN,24.89
32510,2019-04-07 16:00:00,HB_PAN,28.1
32525,2019-04-07 17:00:00,HB_PAN,30.87
32540,2019-04-07 18:00:00,HB_PAN,30.61
32555,2019-04-07 19:00:00,HB_PAN,37.1
32570,2019-04-07 20:00:00,HB_PAN,43.14
32585,2019-04-07 21:00:00,HB_PAN,27.53
32600,2019-04-07 22:00:00,HB_PAN,27.33
32615,2019-04-07 23:00:00,HB_PAN,21.37
32630,2019-04-08 00:00:00,HB_PAN,18.99
32645,2019-04-08 01:00:00,HB_PAN,17.98
32660,2019-04-08 02:00:00,HB_PAN,17.42
32675,2019-04-08 03:00:00,HB_PAN,17.58
32690,2019-04-08 04:00:00,HB_PAN,18.65
32705,2019-04-08 05:00:00,HB_PAN,21.71
32720,2019-04-08 06:00:00,HB_PAN,26.19
32735,2019-04-08 07:00:00,HB_PAN,20.53
32750,2019-04-08 08:00:00,HB_PAN,22.7
32765,2019-04-08 09:00:00,HB_PAN,25.84
32780,2019-04-08 10:00:00,HB_PAN,27.23
32795,2019-04-08 11:00:00,HB_PAN,31.05
32810,2019-04-08 12:00:00,HB_PAN,32.61
32825,2019-04-08 13:00:00,HB_PAN,37.7
32840,2019-04-08 14:00:00,HB_PAN,47.14
32855,2019-04-08 15:00:00,HB_PAN,74.65
32870,2019-04-08 16:00:00,HB_PAN,94.59
32885,2019-04-08 17:00:00,HB_PAN,81.54
32900,2019-04-08 18:00:00,HB_PAN,48.48
32915,2019-04-08 19:00:00,HB_PAN,49.52
32930,2019-04-08 20:00:00,HB_PAN,43.94
32945,2019-04-08 21:00:00,HB_PAN,32.95
32960,2019-04-08 22:00:00,HB_PAN,27.15
32975,2019-04-08 23:00:00,HB_PAN,21.3
32990,2019-04-09 00:00:00,HB_PAN,20.01
33005,2019-04-09 01:00:00,HB_PAN,18.04
33020,2019-04-09 02:00:00,HB_PAN,16.5
33035,2019-04-09 03:00:00,HB_PAN,15.99
33050,2019-04-09 04:00:00,HB_PAN,16.59
33065,2019-04-09 05:00:00,HB_PAN,19.01
33080,2019-04-09 06:00:00,HB_PAN,21.09
33095,2019-04-09 07:00:00,HB_PAN,20.97
33110,2019-04-09 08:00:00,HB_PAN,21.07
33125,2019-04-09 09:00:00,HB_PAN,24.91
33140,2019-04-09 10:00:00,HB_PAN,28.55
33155,2019-04-09 11:00:00,HB_PAN,29.75
33170,2019-04-09 12:00:00,HB_PAN,31.4
33185,2019-04-09 13:00:00,HB_PAN,38.49
33200,2019-04-09 14:00:00,HB_PAN,46.36
33215,2019-04-09 15:00:00,HB_PAN,89.53
33230,2019-04-09 16:00:00,HB_PAN,99.64
33245,2019-04-09 17:00:00,HB_PAN,97.66
33260,2019-04-09 18:00:00,HB_PAN,32.58
33275,2019-04-09 19:00:00,HB_PAN,25.28
33290,2019-04-09 20:00:00,HB_PAN,8.56
33305,2019-04-09 21:00:00,HB_PAN,2.01
33320,2019-04-09 22:00:00,HB_PAN,1.63
33335,2019-04-09 23:00:00,HB_PAN,-1.26
33350,2019-04-10 00:00:00,HB_PAN,-1.47
33365,2019-04-10 01:00:00,HB_PAN,-1.56
33380,2019-04-10 02:00:00,HB_PAN,-1.77
33395,2019-04-10 03:00:00,HB_PAN,-1.57
33410,2019-04-10 04:00:00,HB_PAN,-0.34
33425,2019-04-10 05:00:00,HB_PAN,0.85
33440,2019-04-10 06:00:00,HB_PAN,5.92
33455,2019-04-10 07:00:00,HB_PAN,6.17
33470,2019-04-10 08:00:00,HB_PAN,6.84
33485,2019-04-10 09:00:00,HB_PAN,7.01
33500,2019-04-10 10:00:00,HB_PAN,4.53
33515,2019-04-10 11:00:00,HB_PAN,4.4
33530,2019-04-10 12:00:00,HB_PAN,3.21
33545,2019-04-10 13:00:00,HB_PAN,9.95
33560,2019-04-10 14:00:00,HB_PAN,2.98
33575,2019-04-10 15:00:00,HB_PAN,18.0
33590,2019-04-10 16:00:00,HB_PAN,37.32
33605,2019-04-10 17:00:00,HB_PAN,29.82
33620,2019-04-10 18:00:00,HB_PAN,20.1
33635,2019-04-10 19:00:00,HB_PAN,15.52
33650,2019-04-10 20:00:00,HB_PAN,15.12
33665,2019-04-10 21:00:00,HB_PAN,12.02
33680,2019-04-10 22:00:00,HB_PAN,10.66
33695,2019-04-10 23:00:00,HB_PAN,7.88
33710,2019-04-11 00:00:00,HB_PAN,-0.08
33725,2019-04-11 01:00:00,HB_PAN,-0.05
33740,2019-04-11 02:00:00,HB_PAN,-1.87
33755,2019-04-11 03:00:00,HB_PAN,-0.07
33770,2019-04-11 04:00:00,HB_PAN,1.31
33785,2019-04-11 05:00:00,HB_PAN,5.12
33800,2019-04-11 06:00:00,HB_PAN,14.31
33815,2019-04-11 07:00:00,HB_PAN,10.36
33830,2019-04-11 08:00:00,HB_PAN,11.81
33845,2019-04-11 09:00:00,HB_PAN,11.65
33860,2019-04-11 10:00:00,HB_PAN,15.09
33875,2019-04-11 11:00:00,HB_PAN,18.83
33890,2019-04-11 12:00:00,HB_PAN,20.27
33905,2019-04-11 13:00:00,HB_PAN,23.02
33920,2019-04-11 14:00:00,HB_PAN,30.32
33935,2019-04-11 15:00:00,HB_PAN,32.66
33950,2019-04-11 16:00:00,HB_PAN,48.69
33965,2019-04-11 17:00:00,HB_PAN,39.86
33980,2019-04-11 18:00:00,HB_PAN,28.98
33995,2019-04-11 19:00:00,HB_PAN,35.49
34010,2019-04-11 20:00:00,HB_PAN,34.0
34025,2019-04-11 21:00:00,HB_PAN,22.9
34040,2019-04-11 22:00:00,HB_PAN,21.93
34055,2019-04-11 23:00:00,HB_PAN,19.54
34070,2019-04-12 00:00:00,HB_PAN,18.83
34085,2019-04-12 01:00:00,HB_PAN,17.52
34100,2019-04-12 02:00:00,HB_PAN,16.28
34115,2019-04-12 03:00:00,HB_PAN,15.93
34130,2019-04-12 04:00:00,HB_PAN,16.68
34145,2019-04-12 05:00:00,HB_PAN,23.88
34160,2019-04-12 06:00:00,HB_PAN,26.97
34175,2019-04-12 07:00:00,HB_PAN,21.38
34190,2019-04-12 08:00:00,HB_PAN,21.83
34205,2019-04-12 09:00:00,HB_PAN,24.23
34220,2019-04-12 10:00:00,HB_PAN,23.68
34235,2019-04-12 11:00:00,HB_PAN,22.04
34250,2019-04-12 12:00:00,HB_PAN,21.83
34265,2019-04-12 13:00:00,HB_PAN,22.88
34280,2019-04-12 14:00:00,HB_PAN,27.25
34295,2019-04-12 15:00:00,HB_PAN,27.5
34310,2019-04-12 16:00:00,HB_PAN,43.19
34325,2019-04-12 17:00:00,HB_PAN,28.97
34340,2019-04-12 18:00:00,HB_PAN,19.93
34355,2019-04-12 19:00:00,HB_PAN,17.54
34370,2019-04-12 20:00:00,HB_PAN,15.0
34385,2019-04-12 21:00:00,HB_PAN,12.68
34400,2019-04-12 22:00:00,HB_PAN,13.85
34415,2019-04-12 23:00:00,HB_PAN,13.97
34430,2019-04-13 00:00:00,HB_PAN,10.97
34445,2019-04-13 01:00:00,HB_PAN,10.39
34460,2019-04-13 02:00:00,HB_PAN,9.27
34475,2019-04-13 03:00:00,HB_PAN,9.26
34490,2019-04-13 04:00:00,HB_PAN,9.52
34505,2019-04-13 05:00:00,HB_PAN,11.31
34520,2019-04-13 06:00:00,HB_PAN,13.17
34535,2019-04-13 07:00:00,HB_PAN,14.56
34550,2019-04-13 08:00:00,HB_PAN,14.4
34565,2019-04-13 09:00:00,HB_PAN,16.29
34580,2019-04-13 10:00:00,HB_PAN,18.8
34595,2019-04-13 11:00:00,HB_PAN,14.62
34610,2019-04-13 12:00:00,HB_PAN,11.37
34625,2019-04-13 13:00:00,HB_PAN,7.79
34640,2019-04-13 14:00:00,HB_PAN,3.76
34655,2019-04-13 15:00:00,HB_PAN,3.73
34670,2019-04-13 16:00:00,HB_PAN,4.8
34685,2019-04-13 17:00:00,HB_PAN,6.12
34700,2019-04-13 18:00:00,HB_PAN,9.9
34715,2019-04-13 19:00:00,HB_PAN,15.46
34730,2019-04-13 20:00:00,HB_PAN,20.18
34745,2019-04-13 21:00:00,HB_PAN,18.78
34760,2019-04-13 22:00:00,HB_PAN,16.55
34775,2019-04-13 23:00:00,HB_PAN,15.44
34790,2019-04-14 00:00:00,HB_PAN,17.69
34805,2019-04-14 01:00:00,HB_PAN,17.6
34820,2019-04-14 02:00:00,HB_PAN,17.54
34835,2019-04-14 03:00:00,HB_PAN,17.46
34850,2019-04-14 04:00:00,HB_PAN,18.09
34865,2019-04-14 05:00:00,HB_PAN,19.48
34880,2019-04-14 06:00:00,HB_PAN,22.71
34895,2019-04-14 07:00:00,HB_PAN,23.58
34910,2019-04-14 08:00:00,HB_PAN,29.26
34925,2019-04-14 09:00:00,HB_PAN,31.32
34940,2019-04-14 10:00:00,HB_PAN,29.69
34955,2019-04-14 11:00:00,HB_PAN,28.56
34970,2019-04-14 12:00:00,HB_PAN,23.6
34985,2019-04-14 13:00:00,HB_PAN,22.48
35000,2019-04-14 14:00:00,HB_PAN,19.73
35015,2019-04-14 15:00:00,HB_PAN,18.0
35030,2019-04-14 16:00:00,HB_PAN,16.39
35045,2019-04-14 17:00:00,HB_PAN,18.07
35060,2019-04-14 18:00:00,HB_PAN,17.27
35075,2019-04-14 19:00:00,HB_PAN,19.25
35090,2019-04-14 20:00:00,HB_PAN,16.57
35105,2019-04-14 21:00:00,HB_PAN,12.74
35120,2019-04-14 22:00:00,HB_PAN,9.71
35135,2019-04-14 23:00:00,HB_PAN,2.15
35150,2019-04-15 00:00:00,HB_PAN,0.01
35165,2019-04-15 01:00:00,HB_PAN,-0.05
35180,2019-04-15 02:00:00,HB_PAN,-0.33
35195,2019-04-15 03:00:00,HB_PAN,-0.03
35210,2019-04-15 04:00:00,HB_PAN,1.88
35225,2019-04-15 05:00:00,HB_PAN,3.09
35240,2019-04-15 06:00:00,HB_PAN,13.8
35255,2019-04-15 07:00:00,HB_PAN,9.25
35270,2019-04-15 08:00:00,HB_PAN,12.56
35285,2019-04-15 09:00:00,HB_PAN,12.99
35300,2019-04-15 10:00:00,HB_PAN,11.4
35315,2019-04-15 11:00:00,HB_PAN,9.25
35330,2019-04-15 12:00:00,HB_PAN,6.32
35345,2019-04-15 13:00:00,HB_PAN,5.65
35360,2019-04-15 14:00:00,HB_PAN,3.5
35375,2019-04-15 15:00:00,HB_PAN,4.89
35390,2019-04-15 16:00:00,HB_PAN,4.72
35405,2019-04-15 17:00:00,HB_PAN,4.54
35420,2019-04-15 18:00:00,HB_PAN,3.88
35435,2019-04-15 19:00:00,HB_PAN,5.14
35450,2019-04-15 20:00:00,HB_PAN,5.46
35465,2019-04-15 21:00:00,HB_PAN,2.01
35480,2019-04-15 22:00:00,HB_PAN,1.43
35495,2019-04-15 23:00:00,HB_PAN,-0.39
35510,2019-04-16 00:00:00,HB_PAN,-4.65
35525,2019-04-16 01:00:00,HB_PAN,-4.94
35540,2019-04-16 02:00:00,HB_PAN,-5.16
35555,2019-04-16 03:00:00,HB_PAN,-4.69
35570,2019-04-16 04:00:00,HB_PAN,-4.2
35585,2019-04-16 05:00:00,HB_PAN,-2.9
35600,2019-04-16 06:00:00,HB_PAN,2.35
35615,2019-04-16 07:00:00,HB_PAN,4.46
35630,2019-04-16 08:00:00,HB_PAN,4.58
35645,2019-04-16 09:00:00,HB_PAN,7.93
35660,2019-04-16 10:00:00,HB_PAN,8.51
35675,2019-04-16 11:00:00,HB_PAN,8.84
35690,2019-04-16 12:00:00,HB_PAN,8.96
35705,2019-04-16 13:00:00,HB_PAN,9.73
35720,2019-04-16 14:00:00,HB_PAN,7.84
35735,2019-04-16 15:00:00,HB_PAN,14.73
35750,2019-04-16 16:00:00,HB_PAN,6.23
35765,2019-04-16 17:00:00,HB_PAN,3.96
35780,2019-04-16 18:00:00,HB_PAN,1.69
35795,2019-04-16 19:00:00,HB_PAN,1.73
35810,2019-04-16 20:00:00,HB_PAN,1.95
35825,2019-04-16 21:00:00,HB_PAN,0.31
35840,2019-04-16 22:00:00,HB_PAN,-0.15
35855,2019-04-16 23:00:00,HB_PAN,-2.09
35870,2019-04-17 00:00:00,HB_PAN,-6.09
35885,2019-04-17 01:00:00,HB_PAN,-5.27
35900,2019-04-17 02:00:00,HB_PAN,-6.2
35915,2019-04-17 03:00:00,HB_PAN,-5.0
35930,2019-04-17 04:00:00,HB_PAN,-4.53
35945,2019-04-17 05:00:00,HB_PAN,2.43
35960,2019-04-17 06:00:00,HB_PAN,8.23
35975,2019-04-17 07:00:00,HB_PAN,11.93
35990,2019-04-17 08:00:00,HB_PAN,13.13
36005,2019-04-17 09:00:00,HB_PAN,13.45
36020,2019-04-17 10:00:00,HB_PAN,16.6
36035,2019-04-17 11:00:00,HB_PAN,17.2
36050,2019-04-17 12:00:00,HB_PAN,16.38
36065,2019-04-17 13:00:00,HB_PAN,12.55
36080,2019-04-17 14:00:00,HB_PAN,9.85
36095,2019-04-17 15:00:00,HB_PAN,16.68
36110,2019-04-17 16:00:00,HB_PAN,12.48
36125,2019-04-17 17:00:00,HB_PAN,10.43
36140,2019-04-17 18:00:00,HB_PAN,14.52
36155,2019-04-17 19:00:00,HB_PAN,18.51
36170,2019-04-17 20:00:00,HB_PAN,19.24
36185,2019-04-17 21:00:00,HB_PAN,10.44
36200,2019-04-17 22:00:00,HB_PAN,5.2
36215,2019-04-17 23:00:00,HB_PAN,1.84
36230,2019-04-18 00:00:00,HB_PAN,11.63
36245,2019-04-18 01:00:00,HB_PAN,10.55
36260,2019-04-18 02:00:00,HB_PAN,4.76
36275,2019-04-18 03:00:00,HB_PAN,0.05
36290,2019-04-18 04:00:00,HB_PAN,-0.23
36305,2019-04-18 05:00:00,HB_PAN,-0.36
36320,2019-04-18 06:00:00,HB_PAN,0.15
36335,2019-04-18 07:00:00,HB_PAN,-0.01
36350,2019-04-18 08:00:00,HB_PAN,0.1
36365,2019-04-18 09:00:00,HB_PAN,-1.08
36380,2019-04-18 10:00:00,HB_PAN,-0.96
36395,2019-04-18 11:00:00,HB_PAN,-0.9
36410,2019-04-18 12:00:00,HB_PAN,-0.81
36425,2019-04-18 13:00:00,HB_PAN,1.15
36440,2019-04-18 14:00:00,HB_PAN,0.86
36455,2019-04-18 15:00:00,HB_PAN,1.97
36470,2019-04-18 16:00:00,HB_PAN,5.61
36485,2019-04-18 17:00:00,HB_PAN,11.74
36500,2019-04-18 18:00:00,HB_PAN,15.57
36515,2019-04-18 19:00:00,HB_PAN,22.46
36530,2019-04-18 20:00:00,HB_PAN,34.46
36545,2019-04-18 21:00:00,HB_PAN,25.52
36560,2019-04-18 22:00:00,HB_PAN,21.25
36575,2019-04-18 23:00:00,HB_PAN,19.44
36590,2019-04-19 00:00:00,HB_PAN,16.2
36605,2019-04-19 01:00:00,HB_PAN,15.19
36620,2019-04-19 02:00:00,HB_PAN,14.27
36635,2019-04-19 03:00:00,HB_PAN,15.36
36650,2019-04-19 04:00:00,HB_PAN,15.92
36665,2019-04-19 05:00:00,HB_PAN,16.92
36680,2019-04-19 06:00:00,HB_PAN,22.07
36695,2019-04-19 07:00:00,HB_PAN,21.57
36710,2019-04-19 08:00:00,HB_PAN,20.81
36725,2019-04-19 09:00:00,HB_PAN,20.34
36740,2019-04-19 10:00:00,HB_PAN,20.18
36755,2019-04-19 11:00:00,HB_PAN,21.11
36770,2019-04-19 12:00:00,HB_PAN,21.16
36785,2019-04-19 13:00:00,HB_PAN,22.23
36800,2019-04-19 14:00:00,HB_PAN,22.68
36815,2019-04-19 15:00:00,HB_PAN,23.48
36830,2019-04-19 16:00:00,HB_PAN,31.37
36845,2019-04-19 17:00:00,HB_PAN,35.25
36860,2019-04-19 18:00:00,HB_PAN,33.21
36875,2019-04-19 19:00:00,HB_PAN,34.16
36890,2019-04-19 20:00:00,HB_PAN,37.24
36905,2019-04-19 21:00:00,HB_PAN,26.12
36920,2019-04-19 22:00:00,HB_PAN,21.92
36935,2019-04-19 23:00:00,HB_PAN,19.32
36950,2019-04-20 00:00:00,HB_PAN,20.49
36965,2019-04-20 01:00:00,HB_PAN,17.56
36980,2019-04-20 02:00:00,HB_PAN,16.75
36995,2019-04-20 03:00:00,HB_PAN,11.98
37010,2019-04-20 04:00:00,HB_PAN,9.66
37025,2019-04-20 05:00:00,HB_PAN,9.77
37040,2019-04-20 06:00:00,HB_PAN,12.56
37055,2019-04-20 07:00:00,HB_PAN,13.38
37070,2019-04-20 08:00:00,HB_PAN,18.39
37085,2019-04-20 09:00:00,HB_PAN,18.79
37100,2019-04-20 10:00:00,HB_PAN,19.31
37115,2019-04-20 11:00:00,HB_PAN,17.84
37130,2019-04-20 12:00:00,HB_PAN,17.96
37145,2019-04-20 13:00:00,HB_PAN,13.1
37160,2019-04-20 14:00:00,HB_PAN,13.42
37175,2019-04-20 15:00:00,HB_PAN,17.96
37190,2019-04-20 16:00:00,HB_PAN,19.37
37205,2019-04-20 17:00:00,HB_PAN,16.01
37220,2019-04-20 18:00:00,HB_PAN,13.76
37235,2019-04-20 19:00:00,HB_PAN,11.42
37250,2019-04-20 20:00:00,HB_PAN,5.08
37265,2019-04-20 21:00:00,HB_PAN,2.03
37280,2019-04-20 22:00:00,HB_PAN,-1.06
37295,2019-04-20 23:00:00,HB_PAN,-1.69
37310,2019-04-21 00:00:00,HB_PAN,-1.83
37325,2019-04-21 01:00:00,HB_PAN,-2.37
37340,2019-04-21 02:00:00,HB_PAN,-2.73
37355,2019-04-21 03:00:00,HB_PAN,-2.42
37370,2019-04-21 04:00:00,HB_PAN,-1.56
37385,2019-04-21 05:00:00,HB_PAN,-0.15
37400,2019-04-21 06:00:00,HB_PAN,-0.13
37415,2019-04-21 07:00:00,HB_PAN,1.4
37430,2019-04-21 08:00:00,HB_PAN,6.38
37445,2019-04-21 09:00:00,HB_PAN,9.73
37460,2019-04-21 10:00:00,HB_PAN,10.31
37475,2019-04-21 11:00:00,HB_PAN,13.94
37490,2019-04-21 12:00:00,HB_PAN,14.27
37505,2019-04-21 13:00:00,HB_PAN,14.03
37520,2019-04-21 14:00:00,HB_PAN,14.03
37535,2019-04-21 15:00:00,HB_PAN,14.52
37550,2019-04-21 16:00:00,HB_PAN,17.48
37565,2019-04-21 17:00:00,HB_PAN,19.6
37580,2019-04-21 18:00:00,HB_PAN,20.35
37595,2019-04-21 19:00:00,HB_PAN,19.71
37610,2019-04-21 20:00:00,HB_PAN,29.23
37625,2019-04-21 21:00:00,HB_PAN,12.44
37640,2019-04-21 22:00:00,HB_PAN,9.16
37655,2019-04-21 23:00:00,HB_PAN,2.94
37670,2019-04-22 00:00:00,HB_PAN,8.4
37685,2019-04-22 01:00:00,HB_PAN,6.57
37700,2019-04-22 02:00:00,HB_PAN,6.58
37715,2019-04-22 03:00:00,HB_PAN,8.25
37730,2019-04-22 04:00:00,HB_PAN,10.01
37745,2019-04-22 05:00:00,HB_PAN,15.87
37760,2019-04-22 06:00:00,HB_PAN,14.93
37775,2019-04-22 07:00:00,HB_PAN,18.05
37790,2019-04-22 08:00:00,HB_PAN,18.94
37805,2019-04-22 09:00:00,HB_PAN,19.68
37820,2019-04-22 10:00:00,HB_PAN,20.72
37835,2019-04-22 11:00:00,HB_PAN,22.9
37850,2019-04-22 12:00:00,HB_PAN,23.6
37865,2019-04-22 13:00:00,HB_PAN,27.11
37880,2019-04-22 14:00:00,HB_PAN,29.1
37895,2019-04-22 15:00:00,HB_PAN,37.57
37910,2019-04-22 16:00:00,HB_PAN,49.03
37925,2019-04-22 17:00:00,HB_PAN,39.46
37940,2019-04-22 18:00:00,HB_PAN,27.07
37955,2019-04-22 19:00:00,HB_PAN,24.04
37970,2019-04-22 20:00:00,HB_PAN,29.3
37985,2019-04-22 21:00:00,HB_PAN,24.58
38000,2019-04-22 22:00:00,HB_PAN,22.33
38015,2019-04-22 23:00:00,HB_PAN,19.36
38030,2019-04-23 00:00:00,HB_PAN,19.72
38045,2019-04-23 01:00:00,HB_PAN,17.7
38060,2019-04-23 02:00:00,HB_PAN,16.89
38075,2019-04-23 03:00:00,HB_PAN,15.93
38090,2019-04-23 04:00:00,HB_PAN,15.95
38105,2019-04-23 05:00:00,HB_PAN,19.06
38120,2019-04-23 06:00:00,HB_PAN,21.82
38135,2019-04-23 07:00:00,HB_PAN,20.35
38150,2019-04-23 08:00:00,HB_PAN,20.46
38165,2019-04-23 09:00:00,HB_PAN,22.31
38180,2019-04-23 10:00:00,HB_PAN,23.6
38195,2019-04-23 11:00:00,HB_PAN,23.61
38210,2019-04-23 12:00:00,HB_PAN,22.31
38225,2019-04-23 13:00:00,HB_PAN,24.85
38240,2019-04-23 14:00:00,HB_PAN,29.23
38255,2019-04-23 15:00:00,HB_PAN,34.86
38270,2019-04-23 16:00:00,HB_PAN,43.2
38285,2019-04-23 17:00:00,HB_PAN,32.6
38300,2019-04-23 18:00:00,HB_PAN,28.54
38315,2019-04-23 19:00:00,HB_PAN,28.21
38330,2019-04-23 20:00:00,HB_PAN,38.16
38345,2019-04-23 21:00:00,HB_PAN,22.69
38360,2019-04-23 22:00:00,HB_PAN,22.9
38375,2019-04-23 23:00:00,HB_PAN,20.4
38390,2019-04-24 00:00:00,HB_PAN,19.71
38405,2019-04-24 01:00:00,HB_PAN,18.78
38420,2019-04-24 02:00:00,HB_PAN,18.11
38435,2019-04-24 03:00:00,HB_PAN,17.97
38450,2019-04-24 04:00:00,HB_PAN,18.53
38465,2019-04-24 05:00:00,HB_PAN,19.87
38480,2019-04-24 06:00:00,HB_PAN,25.56
38495,2019-04-24 07:00:00,HB_PAN,24.19
38510,2019-04-24 08:00:00,HB_PAN,24.62
38525,2019-04-24 09:00:00,HB_PAN,25.07
38540,2019-04-24 10:00:00,HB_PAN,22.94
38555,2019-04-24 11:00:00,HB_PAN,24.3
38570,2019-04-24 12:00:00,HB_PAN,24.73
38585,2019-04-24 13:00:00,HB_PAN,27.49
38600,2019-04-24 14:00:00,HB_PAN,30.92
38615,2019-04-24 15:00:00,HB_PAN,32.29
38630,2019-04-24 16:00:00,HB_PAN,37.38
38645,2019-04-24 17:00:00,HB_PAN,32.74
38660,2019-04-24 18:00:00,HB_PAN,30.58
38675,2019-04-24 19:00:00,HB_PAN,32.72
38690,2019-04-24 20:00:00,HB_PAN,52.25
38705,2019-04-24 21:00:00,HB_PAN,30.0
38720,2019-04-24 22:00:00,HB_PAN,30.61
38735,2019-04-24 23:00:00,HB_PAN,24.18
38750,2019-04-25 00:00:00,HB_PAN,20.71
38765,2019-04-25 01:00:00,HB_PAN,19.32
38780,2019-04-25 02:00:00,HB_PAN,17.94
38795,2019-04-25 03:00:00,HB_PAN,16.97
38810,2019-04-25 04:00:00,HB_PAN,17.48
38825,2019-04-25 05:00:00,HB_PAN,19.45
38840,2019-04-25 06:00:00,HB_PAN,27.61
38855,2019-04-25 07:00:00,HB_PAN,26.52
38870,2019-04-25 08:00:00,HB_PAN,25.4
38885,2019-04-25 09:00:00,HB_PAN,23.04
38900,2019-04-25 10:00:00,HB_PAN,24.5
38915,2019-04-25 11:00:00,HB_PAN,23.43
38930,2019-04-25 12:00:00,HB_PAN,16.5
38945,2019-04-25 13:00:00,HB_PAN,21.64
38960,2019-04-25 14:00:00,HB_PAN,23.62
38975,2019-04-25 15:00:00,HB_PAN,27.24
38990,2019-04-25 16:00:00,HB_PAN,45.26
39005,2019-04-25 17:00:00,HB_PAN,44.08
39020,2019-04-25 18:00:00,HB_PAN,38.98
