,Date,SettlementPoint,Price
5,2016-01-01 00:00:00,HB_WEST,18.44
19,2016-01-01 01:00:00,HB_WEST,16.17
33,2016-01-01 02:00:00,HB_WEST,15.65
47,2016-01-01 03:00:00,HB_WEST,15.66
61,2016-01-01 04:00:00,HB_WEST,15.98
75,2016-01-01 05:00:00,HB_WEST,16.75
89,2016-01-01 06:00:00,HB_WEST,18.99
103,2016-01-01 07:00:00,HB_WEST,19.2
117,2016-01-01 08:00:00,HB_WEST,19.11
131,2016-01-01 09:00:00,HB_WEST,19.7
145,2016-01-01 10:00:00,HB_WEST,20.64
159,2016-01-01 11:00:00,HB_WEST,20.65
173,2016-01-01 12:00:00,HB_WEST,20.33
187,2016-01-01 13:00:00,HB_WEST,20.08
201,2016-01-01 14:00:00,HB_WEST,19.1
215,2016-01-01 15:00:00,HB_WEST,19.36
229,2016-01-01 16:00:00,HB_WEST,20.08
243,2016-01-01 17:00:00,HB_WEST,25.05
257,2016-01-01 18:00:00,HB_WEST,26.35
271,2016-01-01 19:00:00,HB_WEST,23.32
285,2016-01-01 20:00:00,HB_WEST,22.84
299,2016-01-01 21:00:00,HB_WEST,21.39
313,2016-01-01 22:00:00,HB_WEST,20.33
327,2016-01-01 23:00:00,HB_WEST,19.68
341,2016-01-02 00:00:00,HB_WEST,19.01
355,2016-01-02 01:00:00,HB_WEST,17.96
369,2016-01-02 02:00:00,HB_WEST,17.17
383,2016-01-02 03:00:00,HB_WEST,17.01
397,2016-01-02 04:00:00,HB_WEST,17.91
411,2016-01-02 05:00:00,HB_WEST,17.66
425,2016-01-02 06:00:00,HB_WEST,20.13
439,2016-01-02 07:00:00,HB_WEST,21.38
453,2016-01-02 08:00:00,HB_WEST,23.51
467,2016-01-02 09:00:00,HB_WEST,25.01
481,2016-01-02 10:00:00,HB_WEST,23.51
495,2016-01-02 11:00:00,HB_WEST,21.89
509,2016-01-02 12:00:00,HB_WEST,20.81
523,2016-01-02 13:00:00,HB_WEST,19.69
537,2016-01-02 14:00:00,HB_WEST,18.3
551,2016-01-02 15:00:00,HB_WEST,17.96
565,2016-01-02 16:00:00,HB_WEST,19.36
579,2016-01-02 17:00:00,HB_WEST,23.57
593,2016-01-02 18:00:00,HB_WEST,23.56
607,2016-01-02 19:00:00,HB_WEST,21.78
621,2016-01-02 20:00:00,HB_WEST,20.75
635,2016-01-02 21:00:00,HB_WEST,19.98
649,2016-01-02 22:00:00,HB_WEST,19.88
663,2016-01-02 23:00:00,HB_WEST,18.44
677,2016-01-03 00:00:00,HB_WEST,17.45
691,2016-01-03 01:00:00,HB_WEST,16.46
705,2016-01-03 02:00:00,HB_WEST,16.19
719,2016-01-03 03:00:00,HB_WEST,16.36
733,2016-01-03 04:00:00,HB_WEST,17.01
747,2016-01-03 05:00:00,HB_WEST,17.7
761,2016-01-03 06:00:00,HB_WEST,19.28
775,2016-01-03 07:00:00,HB_WEST,20.04
789,2016-01-03 08:00:00,HB_WEST,20.17
803,2016-01-03 09:00:00,HB_WEST,20.22
817,2016-01-03 10:00:00,HB_WEST,19.85
831,2016-01-03 11:00:00,HB_WEST,18.66
845,2016-01-03 12:00:00,HB_WEST,17.14
859,2016-01-03 13:00:00,HB_WEST,16.33
873,2016-01-03 14:00:00,HB_WEST,16.04
887,2016-01-03 15:00:00,HB_WEST,15.97
901,2016-01-03 16:00:00,HB_WEST,16.98
915,2016-01-03 17:00:00,HB_WEST,21.28
929,2016-01-03 18:00:00,HB_WEST,21.9
943,2016-01-03 19:00:00,HB_WEST,20.89
957,2016-01-03 20:00:00,HB_WEST,20.26
971,2016-01-03 21:00:00,HB_WEST,19.69
985,2016-01-03 22:00:00,HB_WEST,18.78
999,2016-01-03 23:00:00,HB_WEST,18.15
1013,2016-01-04 00:00:00,HB_WEST,17.01
1027,2016-01-04 01:00:00,HB_WEST,17.08
1041,2016-01-04 02:00:00,HB_WEST,17.47
1055,2016-01-04 03:00:00,HB_WEST,18.0
1069,2016-01-04 04:00:00,HB_WEST,19.34
1083,2016-01-04 05:00:00,HB_WEST,21.84
1097,2016-01-04 06:00:00,HB_WEST,54.05
1111,2016-01-04 07:00:00,HB_WEST,36.15
1125,2016-01-04 08:00:00,HB_WEST,24.7
1139,2016-01-04 09:00:00,HB_WEST,24.07
1153,2016-01-04 10:00:00,HB_WEST,22.15
1167,2016-01-04 11:00:00,HB_WEST,20.46
1181,2016-01-04 12:00:00,HB_WEST,19.12
1195,2016-01-04 13:00:00,HB_WEST,17.57
1209,2016-01-04 14:00:00,HB_WEST,16.48
1223,2016-01-04 15:00:00,HB_WEST,16.56
1237,2016-01-04 16:00:00,HB_WEST,17.48
1251,2016-01-04 17:00:00,HB_WEST,23.14
1265,2016-01-04 18:00:00,HB_WEST,27.55
1279,2016-01-04 19:00:00,HB_WEST,23.04
1293,2016-01-04 20:00:00,HB_WEST,22.72
1307,2016-01-04 21:00:00,HB_WEST,21.59
1321,2016-01-04 22:00:00,HB_WEST,20.4
1335,2016-01-04 23:00:00,HB_WEST,18.73
1349,2016-01-05 00:00:00,HB_WEST,15.91
1363,2016-01-05 01:00:00,HB_WEST,15.89
1377,2016-01-05 02:00:00,HB_WEST,16.01
1391,2016-01-05 03:00:00,HB_WEST,16.52
1405,2016-01-05 04:00:00,HB_WEST,18.01
1419,2016-01-05 05:00:00,HB_WEST,21.27
1433,2016-01-05 06:00:00,HB_WEST,49.15
1447,2016-01-05 07:00:00,HB_WEST,30.13
1461,2016-01-05 08:00:00,HB_WEST,23.24
1475,2016-01-05 09:00:00,HB_WEST,22.88
1489,2016-01-05 10:00:00,HB_WEST,21.57
1503,2016-01-05 11:00:00,HB_WEST,20.65
1517,2016-01-05 12:00:00,HB_WEST,19.78
1531,2016-01-05 13:00:00,HB_WEST,19.12
1545,2016-01-05 14:00:00,HB_WEST,18.05
1559,2016-01-05 15:00:00,HB_WEST,17.66
1573,2016-01-05 16:00:00,HB_WEST,18.51
1587,2016-01-05 17:00:00,HB_WEST,22.7
1601,2016-01-05 18:00:00,HB_WEST,22.8
1615,2016-01-05 19:00:00,HB_WEST,21.97
1629,2016-01-05 20:00:00,HB_WEST,21.01
1643,2016-01-05 21:00:00,HB_WEST,19.64
1657,2016-01-05 22:00:00,HB_WEST,18.61
1671,2016-01-05 23:00:00,HB_WEST,17.12
1685,2016-01-06 00:00:00,HB_WEST,12.6
1699,2016-01-06 01:00:00,HB_WEST,10.69
1713,2016-01-06 02:00:00,HB_WEST,10.28
1727,2016-01-06 03:00:00,HB_WEST,11.67
1741,2016-01-06 04:00:00,HB_WEST,13.68
1755,2016-01-06 05:00:00,HB_WEST,17.35
1769,2016-01-06 06:00:00,HB_WEST,23.4
1783,2016-01-06 07:00:00,HB_WEST,21.77
1797,2016-01-06 08:00:00,HB_WEST,20.49
1811,2016-01-06 09:00:00,HB_WEST,20.43
1825,2016-01-06 10:00:00,HB_WEST,20.83
1839,2016-01-06 11:00:00,HB_WEST,19.69
1853,2016-01-06 12:00:00,HB_WEST,18.66
1867,2016-01-06 13:00:00,HB_WEST,18.86
1881,2016-01-06 14:00:00,HB_WEST,18.49
1895,2016-01-06 15:00:00,HB_WEST,17.67
1909,2016-01-06 16:00:00,HB_WEST,18.44
1923,2016-01-06 17:00:00,HB_WEST,24.99
1937,2016-01-06 18:00:00,HB_WEST,24.26
1951,2016-01-06 19:00:00,HB_WEST,21.41
1965,2016-01-06 20:00:00,HB_WEST,19.98
