,Date,SettlementPoint,Price
6,2016-01-01 00:00:00,LZ_AEN,18.44
20,2016-01-01 01:00:00,LZ_AEN,16.17
34,2016-01-01 02:00:00,LZ_AEN,15.65
48,2016-01-01 03:00:00,LZ_AEN,15.66
62,2016-01-01 04:00:00,LZ_AEN,15.98
76,2016-01-01 05:00:00,LZ_AEN,16.75
90,2016-01-01 06:00:00,LZ_AEN,18.99
104,2016-01-01 07:00:00,LZ_AEN,19.2
118,2016-01-01 08:00:00,LZ_AEN,19.11
132,2016-01-01 09:00:00,LZ_AEN,19.7
146,2016-01-01 10:00:00,LZ_AEN,20.64
160,2016-01-01 11:00:00,LZ_AEN,20.65
174,2016-01-01 12:00:00,LZ_AEN,20.33
188,2016-01-01 13:00:00,LZ_AEN,20.08
202,2016-01-01 14:00:00,LZ_AEN,19.1
216,2016-01-01 15:00:00,LZ_AEN,19.36
230,2016-01-01 16:00:00,LZ_AEN,20.08
244,2016-01-01 17:00:00,LZ_AEN,25.03
258,2016-01-01 18:00:00,LZ_AEN,26.32
272,2016-01-01 19:00:00,LZ_AEN,23.31
286,2016-01-01 20:00:00,LZ_AEN,22.84
300,2016-01-01 21:00:00,LZ_AEN,21.39
314,2016-01-01 22:00:00,LZ_AEN,20.33
328,2016-01-01 23:00:00,LZ_AEN,19.68
342,2016-01-02 00:00:00,LZ_AEN,19.01
356,2016-01-02 01:00:00,LZ_AEN,17.95
370,2016-01-02 02:00:00,LZ_AEN,17.17
384,2016-01-02 03:00:00,LZ_AEN,17.01
398,2016-01-02 04:00:00,LZ_AEN,17.91
412,2016-01-02 05:00:00,LZ_AEN,17.66
426,2016-01-02 06:00:00,LZ_AEN,20.13
440,2016-01-02 07:00:00,LZ_AEN,21.38
454,2016-01-02 08:00:00,LZ_AEN,23.52
468,2016-01-02 09:00:00,LZ_AEN,25.02
482,2016-01-02 10:00:00,LZ_AEN,23.51
496,2016-01-02 11:00:00,LZ_AEN,21.89
510,2016-01-02 12:00:00,LZ_AEN,20.81
524,2016-01-02 13:00:00,LZ_AEN,19.68
538,2016-01-02 14:00:00,LZ_AEN,18.3
552,2016-01-02 15:00:00,LZ_AEN,17.96
566,2016-01-02 16:00:00,LZ_AEN,19.36
580,2016-01-02 17:00:00,LZ_AEN,23.57
594,2016-01-02 18:00:00,LZ_AEN,23.54
608,2016-01-02 19:00:00,LZ_AEN,21.78
622,2016-01-02 20:00:00,LZ_AEN,20.75
636,2016-01-02 21:00:00,LZ_AEN,19.98
650,2016-01-02 22:00:00,LZ_AEN,19.88
664,2016-01-02 23:00:00,LZ_AEN,18.44
678,2016-01-03 00:00:00,LZ_AEN,17.44
692,2016-01-03 01:00:00,LZ_AEN,16.46
706,2016-01-03 02:00:00,LZ_AEN,16.19
720,2016-01-03 03:00:00,LZ_AEN,16.36
734,2016-01-03 04:00:00,LZ_AEN,17.01
748,2016-01-03 05:00:00,LZ_AEN,17.7
762,2016-01-03 06:00:00,LZ_AEN,19.28
776,2016-01-03 07:00:00,LZ_AEN,20.04
790,2016-01-03 08:00:00,LZ_AEN,20.17
804,2016-01-03 09:00:00,LZ_AEN,20.22
818,2016-01-03 10:00:00,LZ_AEN,19.85
832,2016-01-03 11:00:00,LZ_AEN,18.66
846,2016-01-03 12:00:00,LZ_AEN,17.14
860,2016-01-03 13:00:00,LZ_AEN,16.33
874,2016-01-03 14:00:00,LZ_AEN,16.04
888,2016-01-03 15:00:00,LZ_AEN,15.97
902,2016-01-03 16:00:00,LZ_AEN,16.98
916,2016-01-03 17:00:00,LZ_AEN,21.28
930,2016-01-03 18:00:00,LZ_AEN,21.9
944,2016-01-03 19:00:00,LZ_AEN,20.89
958,2016-01-03 20:00:00,LZ_AEN,20.25
972,2016-01-03 21:00:00,LZ_AEN,19.69
986,2016-01-03 22:00:00,LZ_AEN,18.78
1000,2016-01-03 23:00:00,LZ_AEN,18.15
1014,2016-01-04 00:00:00,LZ_AEN,17.01
1028,2016-01-04 01:00:00,LZ_AEN,17.08
1042,2016-01-04 02:00:00,LZ_AEN,17.47
1056,2016-01-04 03:00:00,LZ_AEN,18.0
1070,2016-01-04 04:00:00,LZ_AEN,19.34
1084,2016-01-04 05:00:00,LZ_AEN,21.84
1098,2016-01-04 06:00:00,LZ_AEN,54.0
1112,2016-01-04 07:00:00,LZ_AEN,36.0
1126,2016-01-04 08:00:00,LZ_AEN,25.36
1140,2016-01-04 09:00:00,LZ_AEN,24.32
1154,2016-01-04 10:00:00,LZ_AEN,21.88
1168,2016-01-04 11:00:00,LZ_AEN,20.29
1182,2016-01-04 12:00:00,LZ_AEN,19.07
1196,2016-01-04 13:00:00,LZ_AEN,17.54
1210,2016-01-04 14:00:00,LZ_AEN,16.46
1224,2016-01-04 15:00:00,LZ_AEN,16.54
1238,2016-01-04 16:00:00,LZ_AEN,17.46
1252,2016-01-04 17:00:00,LZ_AEN,23.54
1266,2016-01-04 18:00:00,LZ_AEN,28.05
1280,2016-01-04 19:00:00,LZ_AEN,23.27
1294,2016-01-04 20:00:00,LZ_AEN,22.69
1308,2016-01-04 21:00:00,LZ_AEN,21.59
1322,2016-01-04 22:00:00,LZ_AEN,20.44
1336,2016-01-04 23:00:00,LZ_AEN,18.73
1350,2016-01-05 00:00:00,LZ_AEN,15.89
1364,2016-01-05 01:00:00,LZ_AEN,15.88
1378,2016-01-05 02:00:00,LZ_AEN,15.99
1392,2016-01-05 03:00:00,LZ_AEN,16.5
1406,2016-01-05 04:00:00,LZ_AEN,18.0
1420,2016-01-05 05:00:00,LZ_AEN,21.3
1434,2016-01-05 06:00:00,LZ_AEN,49.0
1448,2016-01-05 07:00:00,LZ_AEN,29.87
1462,2016-01-05 08:00:00,LZ_AEN,23.03
1476,2016-01-05 09:00:00,LZ_AEN,22.68
1490,2016-01-05 10:00:00,LZ_AEN,21.49
1504,2016-01-05 11:00:00,LZ_AEN,20.58
1518,2016-01-05 12:00:00,LZ_AEN,19.74
1532,2016-01-05 13:00:00,LZ_AEN,19.07
1546,2016-01-05 14:00:00,LZ_AEN,18.01
1560,2016-01-05 15:00:00,LZ_AEN,17.63
1574,2016-01-05 16:00:00,LZ_AEN,18.47
1588,2016-01-05 17:00:00,LZ_AEN,23.02
1602,2016-01-05 18:00:00,LZ_AEN,22.99
1616,2016-01-05 19:00:00,LZ_AEN,22.0
1630,2016-01-05 20:00:00,LZ_AEN,21.0
1644,2016-01-05 21:00:00,LZ_AEN,19.63
1658,2016-01-05 22:00:00,LZ_AEN,18.61
1672,2016-01-05 23:00:00,LZ_AEN,17.12
1686,2016-01-06 00:00:00,LZ_AEN,12.6
1700,2016-01-06 01:00:00,LZ_AEN,10.69
1714,2016-01-06 02:00:00,LZ_AEN,10.27
1728,2016-01-06 03:00:00,LZ_AEN,11.67
1742,2016-01-06 04:00:00,LZ_AEN,13.68
1756,2016-01-06 05:00:00,LZ_AEN,17.35
1770,2016-01-06 06:00:00,LZ_AEN,23.38
1784,2016-01-06 07:00:00,LZ_AEN,21.75
1798,2016-01-06 08:00:00,LZ_AEN,20.48
1812,2016-01-06 09:00:00,LZ_AEN,20.42
1826,2016-01-06 10:00:00,LZ_AEN,20.81
1840,2016-01-06 11:00:00,LZ_AEN,19.67
1854,2016-01-06 12:00:00,LZ_AEN,18.65
1868,2016-01-06 13:00:00,LZ_AEN,18.85
1882,2016-01-06 14:00:00,LZ_AEN,18.47
1896,2016-01-06 15:00:00,LZ_AEN,17.66
1910,2016-01-06 16:00:00,LZ_AEN,18.43
1924,2016-01-06 17:00:00,LZ_AEN,24.96
1938,2016-01-06 18:00:00,LZ_AEN,24.23
1952,2016-01-06 19:00:00,LZ_AEN,21.39
1966,2016-01-06 20:00:00,LZ_AEN,19.97
1980,2016-01-06 21:00:00,LZ_AEN,18.63
1994,2016-01-06 22:00:00,LZ_AEN,16.82
2008,2016-01-06 23:00:00,LZ_AEN,15.64
2022,2016-01-07 00:00:00,LZ_AEN,14.44
2036,2016-01-07 01:00:00,LZ_AEN,11.11
2050,2016-01-07 02:00:00,LZ_AEN,10.67
2064,2016-01-07 03:00:00,LZ_AEN,11.0
2078,2016-01-07 04:00:00,LZ_AEN,12.74
2092,2016-01-07 05:00:00,LZ_AEN,14.98
2106,2016-01-07 06:00:00,LZ_AEN,21.42
2120,2016-01-07 07:00:00,LZ_AEN,21.52
2134,2016-01-07 08:00:00,LZ_AEN,19.98
2148,2016-01-07 09:00:00,LZ_AEN,19.67
2162,2016-01-07 10:00:00,LZ_AEN,19.86
2176,2016-01-07 11:00:00,LZ_AEN,16.81
2190,2016-01-07 12:00:00,LZ_AEN,16.58
2204,2016-01-07 13:00:00,LZ_AEN,16.33
2218,2016-01-07 14:00:00,LZ_AEN,15.67
2232,2016-01-07 15:00:00,LZ_AEN,15.67
2246,2016-01-07 16:00:00,LZ_AEN,16.19
2260,2016-01-07 17:00:00,LZ_AEN,23.06
2274,2016-01-07 18:00:00,LZ_AEN,22.21
2288,2016-01-07 19:00:00,LZ_AEN,20.79
2302,2016-01-07 20:00:00,LZ_AEN,19.91
2316,2016-01-07 21:00:00,LZ_AEN,18.06
2330,2016-01-07 22:00:00,LZ_AEN,16.0
2344,2016-01-07 23:00:00,LZ_AEN,14.95
2358,2016-01-08 00:00:00,LZ_AEN,15.41
2372,2016-01-08 01:00:00,LZ_AEN,14.01
2386,2016-01-08 02:00:00,LZ_AEN,14.01
2400,2016-01-08 03:00:00,LZ_AEN,14.01
2414,2016-01-08 04:00:00,LZ_AEN,15.08
2428,2016-01-08 05:00:00,LZ_AEN,17.54
2442,2016-01-08 06:00:00,LZ_AEN,22.81
2456,2016-01-08 07:00:00,LZ_AEN,22.39
2470,2016-01-08 08:00:00,LZ_AEN,21.42
2484,2016-01-08 09:00:00,LZ_AEN,21.31
2498,2016-01-08 10:00:00,LZ_AEN,20.63
2512,2016-01-08 11:00:00,LZ_AEN,18.69
2526,2016-01-08 12:00:00,LZ_AEN,17.38
2540,2016-01-08 13:00:00,LZ_AEN,17.24
2554,2016-01-08 14:00:00,LZ_AEN,16.57
2568,2016-01-08 15:00:00,LZ_AEN,16.53
2582,2016-01-08 16:00:00,LZ_AEN,17.6
2596,2016-01-08 17:00:00,LZ_AEN,23.54
2610,2016-01-08 18:00:00,LZ_AEN,22.0
2624,2016-01-08 19:00:00,LZ_AEN,20.27
2638,2016-01-08 20:00:00,LZ_AEN,19.68
2652,2016-01-08 21:00:00,LZ_AEN,17.97
2666,2016-01-08 22:00:00,LZ_AEN,17.5
2680,2016-01-08 23:00:00,LZ_AEN,16.52
2694,2016-01-09 00:00:00,LZ_AEN,16.15
2708,2016-01-09 01:00:00,LZ_AEN,14.54
2722,2016-01-09 02:00:00,LZ_AEN,14.16
