,Date,SettlementPoint,Price
7,2016-01-01 00:00:00,LZ_CPS,18.45
21,2016-01-01 01:00:00,LZ_CPS,16.19
35,2016-01-01 02:00:00,LZ_CPS,15.67
49,2016-01-01 03:00:00,LZ_CPS,15.69
63,2016-01-01 04:00:00,LZ_CPS,16.0
77,2016-01-01 05:00:00,LZ_CPS,16.79
91,2016-01-01 06:00:00,LZ_CPS,19.0
105,2016-01-01 07:00:00,LZ_CPS,19.21
119,2016-01-01 08:00:00,LZ_CPS,19.12
133,2016-01-01 09:00:00,LZ_CPS,19.73
147,2016-01-01 10:00:00,LZ_CPS,20.66
161,2016-01-01 11:00:00,LZ_CPS,20.68
175,2016-01-01 12:00:00,LZ_CPS,20.35
189,2016-01-01 13:00:00,LZ_CPS,20.09
203,2016-01-01 14:00:00,LZ_CPS,19.11
217,2016-01-01 15:00:00,LZ_CPS,19.37
231,2016-01-01 16:00:00,LZ_CPS,20.09
245,2016-01-01 17:00:00,LZ_CPS,25.1
259,2016-01-01 18:00:00,LZ_CPS,26.37
273,2016-01-01 19:00:00,LZ_CPS,23.36
287,2016-01-01 20:00:00,LZ_CPS,22.88
301,2016-01-01 21:00:00,LZ_CPS,21.42
315,2016-01-01 22:00:00,LZ_CPS,20.34
329,2016-01-01 23:00:00,LZ_CPS,19.69
343,2016-01-02 00:00:00,LZ_CPS,19.01
357,2016-01-02 01:00:00,LZ_CPS,17.96
371,2016-01-02 02:00:00,LZ_CPS,17.18
385,2016-01-02 03:00:00,LZ_CPS,17.02
399,2016-01-02 04:00:00,LZ_CPS,17.92
413,2016-01-02 05:00:00,LZ_CPS,17.66
427,2016-01-02 06:00:00,LZ_CPS,20.13
441,2016-01-02 07:00:00,LZ_CPS,21.42
455,2016-01-02 08:00:00,LZ_CPS,23.58
469,2016-01-02 09:00:00,LZ_CPS,25.12
483,2016-01-02 10:00:00,LZ_CPS,23.58
497,2016-01-02 11:00:00,LZ_CPS,21.92
511,2016-01-02 12:00:00,LZ_CPS,20.82
525,2016-01-02 13:00:00,LZ_CPS,19.69
539,2016-01-02 14:00:00,LZ_CPS,18.3
553,2016-01-02 15:00:00,LZ_CPS,17.97
567,2016-01-02 16:00:00,LZ_CPS,19.37
581,2016-01-02 17:00:00,LZ_CPS,23.62
595,2016-01-02 18:00:00,LZ_CPS,23.59
609,2016-01-02 19:00:00,LZ_CPS,21.81
623,2016-01-02 20:00:00,LZ_CPS,20.76
637,2016-01-02 21:00:00,LZ_CPS,19.98
651,2016-01-02 22:00:00,LZ_CPS,19.88
665,2016-01-02 23:00:00,LZ_CPS,18.44
679,2016-01-03 00:00:00,LZ_CPS,17.45
693,2016-01-03 01:00:00,LZ_CPS,16.46
707,2016-01-03 02:00:00,LZ_CPS,16.19
721,2016-01-03 03:00:00,LZ_CPS,16.36
735,2016-01-03 04:00:00,LZ_CPS,17.02
749,2016-01-03 05:00:00,LZ_CPS,17.71
763,2016-01-03 06:00:00,LZ_CPS,19.28
