,Date,SettlementPoint,Price
8,2016-01-01 00:00:00,LZ_HOUSTON,18.42
22,2016-01-01 01:00:00,LZ_HOUSTON,16.14
36,2016-01-01 02:00:00,LZ_HOUSTON,15.61
50,2016-01-01 03:00:00,LZ_HOUSTON,15.62
64,2016-01-01 04:00:00,LZ_HOUSTON,15.94
78,2016-01-01 05:00:00,LZ_HOUSTON,16.69
92,2016-01-01 06:00:00,LZ_HOUSTON,18.96
106,2016-01-01 07:00:00,LZ_HOUSTON,19.18
120,2016-01-01 08:00:00,LZ_HOUSTON,19.08
134,2016-01-01 09:00:00,LZ_HOUSTON,19.66
148,2016-01-01 10:00:00,LZ_HOUSTON,20.6
162,2016-01-01 11:00:00,LZ_HOUSTON,20.6
176,2016-01-01 12:00:00,LZ_HOUSTON,20.3
190,2016-01-01 13:00:00,LZ_HOUSTON,20.07
204,2016-01-01 14:00:00,LZ_HOUSTON,19.09
218,2016-01-01 15:00:00,LZ_HOUSTON,19.34
232,2016-01-01 16:00:00,LZ_HOUSTON,20.07
246,2016-01-01 17:00:00,LZ_HOUSTON,24.94
260,2016-01-01 18:00:00,LZ_HOUSTON,26.26
274,2016-01-01 19:00:00,LZ_HOUSTON,23.24
288,2016-01-01 20:00:00,LZ_HOUSTON,22.79
302,2016-01-01 21:00:00,LZ_HOUSTON,21.36
316,2016-01-01 22:00:00,LZ_HOUSTON,20.32
330,2016-01-01 23:00:00,LZ_HOUSTON,19.66
344,2016-01-02 00:00:00,LZ_HOUSTON,18.99
358,2016-01-02 01:00:00,LZ_HOUSTON,17.94
372,2016-01-02 02:00:00,LZ_HOUSTON,17.16
386,2016-01-02 03:00:00,LZ_HOUSTON,17.0
400,2016-01-02 04:00:00,LZ_HOUSTON,17.9
414,2016-01-02 05:00:00,LZ_HOUSTON,17.65
428,2016-01-02 06:00:00,LZ_HOUSTON,20.12
442,2016-01-02 07:00:00,LZ_HOUSTON,21.34
456,2016-01-02 08:00:00,LZ_HOUSTON,23.42
470,2016-01-02 09:00:00,LZ_HOUSTON,24.87
484,2016-01-02 10:00:00,LZ_HOUSTON,23.4
498,2016-01-02 11:00:00,LZ_HOUSTON,21.84
512,2016-01-02 12:00:00,LZ_HOUSTON,20.79
526,2016-01-02 13:00:00,LZ_HOUSTON,19.68
540,2016-01-02 14:00:00,LZ_HOUSTON,18.29
554,2016-01-02 15:00:00,LZ_HOUSTON,17.94
568,2016-01-02 16:00:00,LZ_HOUSTON,19.34
582,2016-01-02 17:00:00,LZ_HOUSTON,23.48
596,2016-01-02 18:00:00,LZ_HOUSTON,23.47
610,2016-01-02 19:00:00,LZ_HOUSTON,21.73
624,2016-01-02 20:00:00,LZ_HOUSTON,20.73
638,2016-01-02 21:00:00,LZ_HOUSTON,19.98
652,2016-01-02 22:00:00,LZ_HOUSTON,19.87
666,2016-01-02 23:00:00,LZ_HOUSTON,18.43
680,2016-01-03 00:00:00,LZ_HOUSTON,17.44
694,2016-01-03 01:00:00,LZ_HOUSTON,16.45
