,Date,SettlementPoint,Price
10,2016-01-01 00:00:00,LZ_NORTH,18.43
24,2016-01-01 01:00:00,LZ_NORTH,16.17
38,2016-01-01 02:00:00,LZ_NORTH,15.64
52,2016-01-01 03:00:00,LZ_NORTH,15.65
66,2016-01-01 04:00:00,LZ_NORTH,15.97
80,2016-01-01 05:00:00,LZ_NORTH,16.74
94,2016-01-01 06:00:00,LZ_NORTH,18.98
108,2016-01-01 07:00:00,LZ_NORTH,19.19
122,2016-01-01 08:00:00,LZ_NORTH,19.1
136,2016-01-01 09:00:00,LZ_NORTH,19.69
150,2016-01-01 10:00:00,LZ_NORTH,20.63
164,2016-01-01 11:00:00,LZ_NORTH,20.64
178,2016-01-01 12:00:00,LZ_NORTH,20.32
192,2016-01-01 13:00:00,LZ_NORTH,20.08
206,2016-01-01 14:00:00,LZ_NORTH,19.1
220,2016-01-01 15:00:00,LZ_NORTH,19.35
234,2016-01-01 16:00:00,LZ_NORTH,20.07
248,2016-01-01 17:00:00,LZ_NORTH,25.0
262,2016-01-01 18:00:00,LZ_NORTH,26.3
276,2016-01-01 19:00:00,LZ_NORTH,23.29
290,2016-01-01 20:00:00,LZ_NORTH,22.83
304,2016-01-01 21:00:00,LZ_NORTH,21.38
318,2016-01-01 22:00:00,LZ_NORTH,20.33
332,2016-01-01 23:00:00,LZ_NORTH,19.67
346,2016-01-02 00:00:00,LZ_NORTH,19.0
360,2016-01-02 01:00:00,LZ_NORTH,17.95
374,2016-01-02 02:00:00,LZ_NORTH,17.17
388,2016-01-02 03:00:00,LZ_NORTH,17.01
402,2016-01-02 04:00:00,LZ_NORTH,17.91
416,2016-01-02 05:00:00,LZ_NORTH,17.66
430,2016-01-02 06:00:00,LZ_NORTH,20.12
444,2016-01-02 07:00:00,LZ_NORTH,21.37
458,2016-01-02 08:00:00,LZ_NORTH,23.48
472,2016-01-02 09:00:00,LZ_NORTH,24.97
486,2016-01-02 10:00:00,LZ_NORTH,23.47
500,2016-01-02 11:00:00,LZ_NORTH,21.87
514,2016-01-02 12:00:00,LZ_NORTH,20.8
528,2016-01-02 13:00:00,LZ_NORTH,19.68
542,2016-01-02 14:00:00,LZ_NORTH,18.29
556,2016-01-02 15:00:00,LZ_NORTH,17.96
570,2016-01-02 16:00:00,LZ_NORTH,19.35
584,2016-01-02 17:00:00,LZ_NORTH,23.54
598,2016-01-02 18:00:00,LZ_NORTH,23.52
612,2016-01-02 19:00:00,LZ_NORTH,21.76
626,2016-01-02 20:00:00,LZ_NORTH,20.74
640,2016-01-02 21:00:00,LZ_NORTH,19.98
654,2016-01-02 22:00:00,LZ_NORTH,19.88
668,2016-01-02 23:00:00,LZ_NORTH,18.43
682,2016-01-03 00:00:00,LZ_NORTH,17.44
696,2016-01-03 01:00:00,LZ_NORTH,16.46
710,2016-01-03 02:00:00,LZ_NORTH,16.18
724,2016-01-03 03:00:00,LZ_NORTH,16.36
738,2016-01-03 04:00:00,LZ_NORTH,17.01
752,2016-01-03 05:00:00,LZ_NORTH,17.7
766,2016-01-03 06:00:00,LZ_NORTH,19.28
780,2016-01-03 07:00:00,LZ_NORTH,20.04
794,2016-01-03 08:00:00,LZ_NORTH,20.17
808,2016-01-03 09:00:00,LZ_NORTH,20.22
822,2016-01-03 10:00:00,LZ_NORTH,19.85
836,2016-01-03 11:00:00,LZ_NORTH,18.66
850,2016-01-03 12:00:00,LZ_NORTH,17.14
864,2016-01-03 13:00:00,LZ_NORTH,16.33
878,2016-01-03 14:00:00,LZ_NORTH,16.04
892,2016-01-03 15:00:00,LZ_NORTH,15.96
906,2016-01-03 16:00:00,LZ_NORTH,16.98
920,2016-01-03 17:00:00,LZ_NORTH,21.27
934,2016-01-03 18:00:00,LZ_NORTH,21.89
948,2016-01-03 19:00:00,LZ_NORTH,20.89
962,2016-01-03 20:00:00,LZ_NORTH,20.25
976,2016-01-03 21:00:00,LZ_NORTH,19.69
990,2016-01-03 22:00:00,LZ_NORTH,18.78
1004,2016-01-03 23:00:00,LZ_NORTH,18.15
1018,2016-01-04 00:00:00,LZ_NORTH,17.01
1032,2016-01-04 01:00:00,LZ_NORTH,17.08
1046,2016-01-04 02:00:00,LZ_NORTH,17.47
