,Date,SettlementPoint,Price
13,2016-01-01 00:00:00,LZ_WEST,18.44
27,2016-01-01 01:00:00,LZ_WEST,16.17
41,2016-01-01 02:00:00,LZ_WEST,15.65
55,2016-01-01 03:00:00,LZ_WEST,15.66
69,2016-01-01 04:00:00,LZ_WEST,15.98
83,2016-01-01 05:00:00,LZ_WEST,16.76
97,2016-01-01 06:00:00,LZ_WEST,18.99
111,2016-01-01 07:00:00,LZ_WEST,19.2
125,2016-01-01 08:00:00,LZ_WEST,19.11
139,2016-01-01 09:00:00,LZ_WEST,19.71
153,2016-01-01 10:00:00,LZ_WEST,20.64
167,2016-01-01 11:00:00,LZ_WEST,20.66
181,2016-01-01 12:00:00,LZ_WEST,20.33
195,2016-01-01 13:00:00,LZ_WEST,20.1
209,2016-01-01 14:00:00,LZ_WEST,19.15
223,2016-01-01 15:00:00,LZ_WEST,19.39
237,2016-01-01 16:00:00,LZ_WEST,20.15
251,2016-01-01 17:00:00,LZ_WEST,25.23
265,2016-01-01 18:00:00,LZ_WEST,26.52
279,2016-01-01 19:00:00,LZ_WEST,23.41
293,2016-01-01 20:00:00,LZ_WEST,22.89
307,2016-01-01 21:00:00,LZ_WEST,21.43
321,2016-01-01 22:00:00,LZ_WEST,20.34
335,2016-01-01 23:00:00,LZ_WEST,19.68
349,2016-01-02 00:00:00,LZ_WEST,19.01
363,2016-01-02 01:00:00,LZ_WEST,17.96
377,2016-01-02 02:00:00,LZ_WEST,17.18
391,2016-01-02 03:00:00,LZ_WEST,17.02
405,2016-01-02 04:00:00,LZ_WEST,17.92
419,2016-01-02 05:00:00,LZ_WEST,17.66
433,2016-01-02 06:00:00,LZ_WEST,20.13
447,2016-01-02 07:00:00,LZ_WEST,21.39
461,2016-01-02 08:00:00,LZ_WEST,23.56
475,2016-01-02 09:00:00,LZ_WEST,25.05
489,2016-01-02 10:00:00,LZ_WEST,23.55
503,2016-01-02 11:00:00,LZ_WEST,21.89
517,2016-01-02 12:00:00,LZ_WEST,20.86
531,2016-01-02 13:00:00,LZ_WEST,19.7
545,2016-01-02 14:00:00,LZ_WEST,18.31
559,2016-01-02 15:00:00,LZ_WEST,17.96
573,2016-01-02 16:00:00,LZ_WEST,19.38
587,2016-01-02 17:00:00,LZ_WEST,23.61
601,2016-01-02 18:00:00,LZ_WEST,23.66
615,2016-01-02 19:00:00,LZ_WEST,21.82
629,2016-01-02 20:00:00,LZ_WEST,20.76
643,2016-01-02 21:00:00,LZ_WEST,19.99
657,2016-01-02 22:00:00,LZ_WEST,19.88
671,2016-01-02 23:00:00,LZ_WEST,18.44
685,2016-01-03 00:00:00,LZ_WEST,17.5
699,2016-01-03 01:00:00,LZ_WEST,16.51
713,2016-01-03 02:00:00,LZ_WEST,16.24
727,2016-01-03 03:00:00,LZ_WEST,16.39
741,2016-01-03 04:00:00,LZ_WEST,17.06
755,2016-01-03 05:00:00,LZ_WEST,17.76
769,2016-01-03 06:00:00,LZ_WEST,19.33
783,2016-01-03 07:00:00,LZ_WEST,20.13
797,2016-01-03 08:00:00,LZ_WEST,20.27
811,2016-01-03 09:00:00,LZ_WEST,20.31
825,2016-01-03 10:00:00,LZ_WEST,19.95
839,2016-01-03 11:00:00,LZ_WEST,18.74
853,2016-01-03 12:00:00,LZ_WEST,17.22
867,2016-01-03 13:00:00,LZ_WEST,16.4
881,2016-01-03 14:00:00,LZ_WEST,16.11
895,2016-01-03 15:00:00,LZ_WEST,16.04
909,2016-01-03 16:00:00,LZ_WEST,17.05
923,2016-01-03 17:00:00,LZ_WEST,21.37
937,2016-01-03 18:00:00,LZ_WEST,21.97
951,2016-01-03 19:00:00,LZ_WEST,20.97
965,2016-01-03 20:00:00,LZ_WEST,20.33
979,2016-01-03 21:00:00,LZ_WEST,19.75
993,2016-01-03 22:00:00,LZ_WEST,18.84
1007,2016-01-03 23:00:00,LZ_WEST,18.2
1021,2016-01-04 00:00:00,LZ_WEST,17.01
1035,2016-01-04 01:00:00,LZ_WEST,17.08
1049,2016-01-04 02:00:00,LZ_WEST,17.47
1063,2016-01-04 03:00:00,LZ_WEST,18.0
1077,2016-01-04 04:00:00,LZ_WEST,19.34
1091,2016-01-04 05:00:00,LZ_WEST,21.84
1105,2016-01-04 06:00:00,LZ_WEST,54.55
1119,2016-01-04 07:00:00,LZ_WEST,38.01
1133,2016-01-04 08:00:00,LZ_WEST,26.32
1147,2016-01-04 09:00:00,LZ_WEST,25.39
1161,2016-01-04 10:00:00,LZ_WEST,24.02
1175,2016-01-04 11:00:00,LZ_WEST,21.81
1189,2016-01-04 12:00:00,LZ_WEST,20.12
1203,2016-01-04 13:00:00,LZ_WEST,18.53
1217,2016-01-04 14:00:00,LZ_WEST,17.32
1231,2016-01-04 15:00:00,LZ_WEST,17.42
1245,2016-01-04 16:00:00,LZ_WEST,18.56
1259,2016-01-04 17:00:00,LZ_WEST,24.58
1273,2016-01-04 18:00:00,LZ_WEST,29.11
1287,2016-01-04 19:00:00,LZ_WEST,24.21
1301,2016-01-04 20:00:00,LZ_WEST,23.34
1315,2016-01-04 21:00:00,LZ_WEST,21.99
1329,2016-01-04 22:00:00,LZ_WEST,20.58
1343,2016-01-04 23:00:00,LZ_WEST,18.87
1357,2016-01-05 00:00:00,LZ_WEST,16.08
1371,2016-01-05 01:00:00,LZ_WEST,16.07
1385,2016-01-05 02:00:00,LZ_WEST,16.19
1399,2016-01-05 03:00:00,LZ_WEST,16.69
1413,2016-01-05 04:00:00,LZ_WEST,18.13
1427,2016-01-05 05:00:00,LZ_WEST,21.63
1441,2016-01-05 06:00:00,LZ_WEST,50.35
1455,2016-01-05 07:00:00,LZ_WEST,31.96
