,Date,SettlementPoint,Price
2,2016-01-01 00:00:00,HB_HUBAVG,18.42
16,2016-01-01 01:00:00,HB_HUBAVG,16.14
30,2016-01-01 02:00:00,HB_HUBAVG,15.6
44,2016-01-01 03:00:00,HB_HUBAVG,15.61
58,2016-01-01 04:00:00,HB_HUBAVG,15.94
72,2016-01-01 05:00:00,HB_HUBAVG,16.68
86,2016-01-01 06:00:00,HB_HUBAVG,18.96
100,2016-01-01 07:00:00,HB_HUBAVG,19.18
114,2016-01-01 08:00:00,HB_HUBAVG,19.08
128,2016-01-01 09:00:00,HB_HUBAVG,19.66
142,2016-01-01 10:00:00,HB_HUBAVG,20.59
156,2016-01-01 11:00:00,HB_HUBAVG,20.6
170,2016-01-01 12:00:00,HB_HUBAVG,20.3
184,2016-01-01 13:00:00,HB_HUBAVG,20.07
198,2016-01-01 14:00:00,HB_HUBAVG,19.09
212,2016-01-01 15:00:00,HB_HUBAVG,19.34
226,2016-01-01 16:00:00,HB_HUBAVG,20.07
240,2016-01-01 17:00:00,HB_HUBAVG,24.95
254,2016-01-01 18:00:00,HB_HUBAVG,26.25
268,2016-01-01 19:00:00,HB_HUBAVG,23.24
282,2016-01-01 20:00:00,HB_HUBAVG,22.79
296,2016-01-01 21:00:00,HB_HUBAVG,21.36
310,2016-01-01 22:00:00,HB_HUBAVG,20.31
324,2016-01-01 23:00:00,HB_HUBAVG,19.65
338,2016-01-02 00:00:00,HB_HUBAVG,18.99
352,2016-01-02 01:00:00,HB_HUBAVG,17.94
366,2016-01-02 02:00:00,HB_HUBAVG,17.15
380,2016-01-02 03:00:00,HB_HUBAVG,16.99
394,2016-01-02 04:00:00,HB_HUBAVG,17.89
408,2016-01-02 05:00:00,HB_HUBAVG,17.64
422,2016-01-02 06:00:00,HB_HUBAVG,20.11
436,2016-01-02 07:00:00,HB_HUBAVG,21.33
450,2016-01-02 08:00:00,HB_HUBAVG,23.4
464,2016-01-02 09:00:00,HB_HUBAVG,24.86
478,2016-01-02 10:00:00,HB_HUBAVG,23.39
492,2016-01-02 11:00:00,HB_HUBAVG,21.84
506,2016-01-02 12:00:00,HB_HUBAVG,20.78
520,2016-01-02 13:00:00,HB_HUBAVG,19.68
534,2016-01-02 14:00:00,HB_HUBAVG,18.29
548,2016-01-02 15:00:00,HB_HUBAVG,17.94
562,2016-01-02 16:00:00,HB_HUBAVG,19.34
576,2016-01-02 17:00:00,HB_HUBAVG,23.47
