,Date,SettlementPoint,Price
4,2016-01-01 00:00:00,HB_SOUTH,18.38
18,2016-01-01 01:00:00,HB_SOUTH,16.09
32,2016-01-01 02:00:00,HB_SOUTH,15.53
46,2016-01-01 03:00:00,HB_SOUTH,15.53
60,2016-01-01 04:00:00,HB_SOUTH,15.86
74,2016-01-01 05:00:00,HB_SOUTH,16.55
88,2016-01-01 06:00:00,HB_SOUTH,18.91
102,2016-01-01 07:00:00,HB_SOUTH,19.13
116,2016-01-01 08:00:00,HB_SOUTH,19.02
130,2016-01-01 09:00:00,HB_SOUTH,19.57
144,2016-01-01 10:00:00,HB_SOUTH,20.51
158,2016-01-01 11:00:00,HB_SOUTH,20.51
172,2016-01-01 12:00:00,HB_SOUTH,20.25
186,2016-01-01 13:00:00,HB_SOUTH,20.04
200,2016-01-01 14:00:00,HB_SOUTH,19.06
214,2016-01-01 15:00:00,HB_SOUTH,19.3
228,2016-01-01 16:00:00,HB_SOUTH,20.04
242,2016-01-01 17:00:00,HB_SOUTH,24.82
256,2016-01-01 18:00:00,HB_SOUTH,26.12
270,2016-01-01 19:00:00,HB_SOUTH,23.13
284,2016-01-01 20:00:00,HB_SOUTH,22.7
298,2016-01-01 21:00:00,HB_SOUTH,21.29
312,2016-01-01 22:00:00,HB_SOUTH,20.24
326,2016-01-01 23:00:00,HB_SOUTH,19.59
340,2016-01-02 00:00:00,HB_SOUTH,18.95
354,2016-01-02 01:00:00,HB_SOUTH,17.92
368,2016-01-02 02:00:00,HB_SOUTH,17.11
382,2016-01-02 03:00:00,HB_SOUTH,16.95
396,2016-01-02 04:00:00,HB_SOUTH,17.86
410,2016-01-02 05:00:00,HB_SOUTH,17.6
424,2016-01-02 06:00:00,HB_SOUTH,20.08
438,2016-01-02 07:00:00,HB_SOUTH,21.24
452,2016-01-02 08:00:00,HB_SOUTH,23.19
466,2016-01-02 09:00:00,HB_SOUTH,24.59
480,2016-01-02 10:00:00,HB_SOUTH,23.19
494,2016-01-02 11:00:00,HB_SOUTH,21.75
508,2016-01-02 12:00:00,HB_SOUTH,20.74
522,2016-01-02 13:00:00,HB_SOUTH,19.65
536,2016-01-02 14:00:00,HB_SOUTH,18.27
550,2016-01-02 15:00:00,HB_SOUTH,17.91
564,2016-01-02 16:00:00,HB_SOUTH,19.31
578,2016-01-02 17:00:00,HB_SOUTH,23.31
592,2016-01-02 18:00:00,HB_SOUTH,23.35
606,2016-01-02 19:00:00,HB_SOUTH,21.64
620,2016-01-02 20:00:00,HB_SOUTH,20.69
634,2016-01-02 21:00:00,HB_SOUTH,19.96
648,2016-01-02 22:00:00,HB_SOUTH,19.85
662,2016-01-02 23:00:00,HB_SOUTH,18.4
676,2016-01-03 00:00:00,HB_SOUTH,17.43
690,2016-01-03 01:00:00,HB_SOUTH,16.45
704,2016-01-03 02:00:00,HB_SOUTH,16.17
718,2016-01-03 03:00:00,HB_SOUTH,16.34
732,2016-01-03 04:00:00,HB_SOUTH,17.0
746,2016-01-03 05:00:00,HB_SOUTH,17.68
760,2016-01-03 06:00:00,HB_SOUTH,19.28
774,2016-01-03 07:00:00,HB_SOUTH,20.03
788,2016-01-03 08:00:00,HB_SOUTH,20.16
802,2016-01-03 09:00:00,HB_SOUTH,20.22
816,2016-01-03 10:00:00,HB_SOUTH,19.85
830,2016-01-03 11:00:00,HB_SOUTH,18.65
844,2016-01-03 12:00:00,HB_SOUTH,17.14
858,2016-01-03 13:00:00,HB_SOUTH,16.32
872,2016-01-03 14:00:00,HB_SOUTH,16.03
886,2016-01-03 15:00:00,HB_SOUTH,15.96
900,2016-01-03 16:00:00,HB_SOUTH,16.98
914,2016-01-03 17:00:00,HB_SOUTH,21.22
928,2016-01-03 18:00:00,HB_SOUTH,21.83
942,2016-01-03 19:00:00,HB_SOUTH,20.86
956,2016-01-03 20:00:00,HB_SOUTH,20.24
970,2016-01-03 21:00:00,HB_SOUTH,19.68
984,2016-01-03 22:00:00,HB_SOUTH,18.78
998,2016-01-03 23:00:00,HB_SOUTH,18.13
1012,2016-01-04 00:00:00,HB_SOUTH,17.01
1026,2016-01-04 01:00:00,HB_SOUTH,17.07
1040,2016-01-04 02:00:00,HB_SOUTH,17.47
1054,2016-01-04 03:00:00,HB_SOUTH,18.0
1068,2016-01-04 04:00:00,HB_SOUTH,19.34
1082,2016-01-04 05:00:00,HB_SOUTH,21.67
1096,2016-01-04 06:00:00,HB_SOUTH,53.15
1110,2016-01-04 07:00:00,HB_SOUTH,35.45
1124,2016-01-04 08:00:00,HB_SOUTH,23.99
1138,2016-01-04 09:00:00,HB_SOUTH,23.47
1152,2016-01-04 10:00:00,HB_SOUTH,21.72
1166,2016-01-04 11:00:00,HB_SOUTH,20.2
1180,2016-01-04 12:00:00,HB_SOUTH,18.99
1194,2016-01-04 13:00:00,HB_SOUTH,17.48
1208,2016-01-04 14:00:00,HB_SOUTH,16.42
1222,2016-01-04 15:00:00,HB_SOUTH,16.5
1236,2016-01-04 16:00:00,HB_SOUTH,17.4
1250,2016-01-04 17:00:00,HB_SOUTH,22.83
1264,2016-01-04 18:00:00,HB_SOUTH,27.16
1278,2016-01-04 19:00:00,HB_SOUTH,22.76
1292,2016-01-04 20:00:00,HB_SOUTH,22.56
1306,2016-01-04 21:00:00,HB_SOUTH,21.45
1320,2016-01-04 22:00:00,HB_SOUTH,20.36
1334,2016-01-04 23:00:00,HB_SOUTH,18.71
1348,2016-01-05 00:00:00,HB_SOUTH,15.89
1362,2016-01-05 01:00:00,HB_SOUTH,15.87
1376,2016-01-05 02:00:00,HB_SOUTH,15.98
1390,2016-01-05 03:00:00,HB_SOUTH,16.5
1404,2016-01-05 04:00:00,HB_SOUTH,17.99
1418,2016-01-05 05:00:00,HB_SOUTH,21.05
1432,2016-01-05 06:00:00,HB_SOUTH,48.27
1446,2016-01-05 07:00:00,HB_SOUTH,29.34
1460,2016-01-05 08:00:00,HB_SOUTH,22.65
1474,2016-01-05 09:00:00,HB_SOUTH,22.47
1488,2016-01-05 10:00:00,HB_SOUTH,21.41
1502,2016-01-05 11:00:00,HB_SOUTH,20.6
1516,2016-01-05 12:00:00,HB_SOUTH,19.72
1530,2016-01-05 13:00:00,HB_SOUTH,19.05
1544,2016-01-05 14:00:00,HB_SOUTH,17.99
1558,2016-01-05 15:00:00,HB_SOUTH,17.6
1572,2016-01-05 16:00:00,HB_SOUTH,18.46
1586,2016-01-05 17:00:00,HB_SOUTH,22.48
1600,2016-01-05 18:00:00,HB_SOUTH,22.49
1614,2016-01-05 19:00:00,HB_SOUTH,21.8
1628,2016-01-05 20:00:00,HB_SOUTH,20.98
1642,2016-01-05 21:00:00,HB_SOUTH,19.63
1656,2016-01-05 22:00:00,HB_SOUTH,18.6
1670,2016-01-05 23:00:00,HB_SOUTH,17.11
1684,2016-01-06 00:00:00,HB_SOUTH,12.6
1698,2016-01-06 01:00:00,HB_SOUTH,10.69
1712,2016-01-06 02:00:00,HB_SOUTH,10.27
1726,2016-01-06 03:00:00,HB_SOUTH,11.66
1740,2016-01-06 04:00:00,HB_SOUTH,13.67
1754,2016-01-06 05:00:00,HB_SOUTH,17.31
1768,2016-01-06 06:00:00,HB_SOUTH,23.35
1782,2016-01-06 07:00:00,HB_SOUTH,21.71
1796,2016-01-06 08:00:00,HB_SOUTH,20.46
1810,2016-01-06 09:00:00,HB_SOUTH,20.4
1824,2016-01-06 10:00:00,HB_SOUTH,20.77
1838,2016-01-06 11:00:00,HB_SOUTH,19.66
1852,2016-01-06 12:00:00,HB_SOUTH,18.64
1866,2016-01-06 13:00:00,HB_SOUTH,18.85
1880,2016-01-06 14:00:00,HB_SOUTH,18.47
1894,2016-01-06 15:00:00,HB_SOUTH,17.66
1908,2016-01-06 16:00:00,HB_SOUTH,18.42
