,Date,SettlementPoint,Price
9,2016-01-01 00:00:00,LZ_LCRA,18.44
23,2016-01-01 01:00:00,LZ_LCRA,16.17
37,2016-01-01 02:00:00,LZ_LCRA,15.65
51,2016-01-01 03:00:00,LZ_LCRA,15.66
65,2016-01-01 04:00:00,LZ_LCRA,15.98
79,2016-01-01 05:00:00,LZ_LCRA,16.76
93,2016-01-01 06:00:00,LZ_LCRA,18.99
107,2016-01-01 07:00:00,LZ_LCRA,19.2
121,2016-01-01 08:00:00,LZ_LCRA,19.11
135,2016-01-01 09:00:00,LZ_LCRA,19.7
149,2016-01-01 10:00:00,LZ_LCRA,20.64
163,2016-01-01 11:00:00,LZ_LCRA,20.65
177,2016-01-01 12:00:00,LZ_LCRA,20.33
191,2016-01-01 13:00:00,LZ_LCRA,20.08
205,2016-01-01 14:00:00,LZ_LCRA,19.1
219,2016-01-01 15:00:00,LZ_LCRA,19.36
233,2016-01-01 16:00:00,LZ_LCRA,20.08
247,2016-01-01 17:00:00,LZ_LCRA,25.06
261,2016-01-01 18:00:00,LZ_LCRA,26.35
275,2016-01-01 19:00:00,LZ_LCRA,23.33
289,2016-01-01 20:00:00,LZ_LCRA,22.86
303,2016-01-01 21:00:00,LZ_LCRA,21.4
317,2016-01-01 22:00:00,LZ_LCRA,20.34
331,2016-01-01 23:00:00,LZ_LCRA,19.68
345,2016-01-02 00:00:00,LZ_LCRA,19.01
359,2016-01-02 01:00:00,LZ_LCRA,17.96
373,2016-01-02 02:00:00,LZ_LCRA,17.18
387,2016-01-02 03:00:00,LZ_LCRA,17.02
401,2016-01-02 04:00:00,LZ_LCRA,17.91
415,2016-01-02 05:00:00,LZ_LCRA,17.66
429,2016-01-02 06:00:00,LZ_LCRA,20.13
443,2016-01-02 07:00:00,LZ_LCRA,21.4
457,2016-01-02 08:00:00,LZ_LCRA,23.55
471,2016-01-02 09:00:00,LZ_LCRA,25.06
485,2016-01-02 10:00:00,LZ_LCRA,23.54
499,2016-01-02 11:00:00,LZ_LCRA,21.91
513,2016-01-02 12:00:00,LZ_LCRA,20.81
527,2016-01-02 13:00:00,LZ_LCRA,19.68
541,2016-01-02 14:00:00,LZ_LCRA,18.3
555,2016-01-02 15:00:00,LZ_LCRA,17.96
569,2016-01-02 16:00:00,LZ_LCRA,19.36
583,2016-01-02 17:00:00,LZ_LCRA,23.59
597,2016-01-02 18:00:00,LZ_LCRA,23.56
611,2016-01-02 19:00:00,LZ_LCRA,21.79
625,2016-01-02 20:00:00,LZ_LCRA,20.76
639,2016-01-02 21:00:00,LZ_LCRA,19.98
653,2016-01-02 22:00:00,LZ_LCRA,19.88
667,2016-01-02 23:00:00,LZ_LCRA,18.44
681,2016-01-03 00:00:00,LZ_LCRA,17.45
695,2016-01-03 01:00:00,LZ_LCRA,16.46
709,2016-01-03 02:00:00,LZ_LCRA,16.19
723,2016-01-03 03:00:00,LZ_LCRA,16.36
737,2016-01-03 04:00:00,LZ_LCRA,17.01
751,2016-01-03 05:00:00,LZ_LCRA,17.7
765,2016-01-03 06:00:00,LZ_LCRA,19.28
779,2016-01-03 07:00:00,LZ_LCRA,20.04
793,2016-01-03 08:00:00,LZ_LCRA,20.17
807,2016-01-03 09:00:00,LZ_LCRA,20.22
821,2016-01-03 10:00:00,LZ_LCRA,19.85
835,2016-01-03 11:00:00,LZ_LCRA,18.66
849,2016-01-03 12:00:00,LZ_LCRA,17.14
863,2016-01-03 13:00:00,LZ_LCRA,16.33
877,2016-01-03 14:00:00,LZ_LCRA,16.04
891,2016-01-03 15:00:00,LZ_LCRA,15.97
905,2016-01-03 16:00:00,LZ_LCRA,16.98
919,2016-01-03 17:00:00,LZ_LCRA,21.28
933,2016-01-03 18:00:00,LZ_LCRA,21.91
947,2016-01-03 19:00:00,LZ_LCRA,20.89
961,2016-01-03 20:00:00,LZ_LCRA,20.25
975,2016-01-03 21:00:00,LZ_LCRA,19.69
989,2016-01-03 22:00:00,LZ_LCRA,18.78
1003,2016-01-03 23:00:00,LZ_LCRA,18.15
1017,2016-01-04 00:00:00,LZ_LCRA,17.02
1031,2016-01-04 01:00:00,LZ_LCRA,17.08
1045,2016-01-04 02:00:00,LZ_LCRA,17.47
1059,2016-01-04 03:00:00,LZ_LCRA,18.0
1073,2016-01-04 04:00:00,LZ_LCRA,19.34
1087,2016-01-04 05:00:00,LZ_LCRA,21.86
1101,2016-01-04 06:00:00,LZ_LCRA,54.09
1115,2016-01-04 07:00:00,LZ_LCRA,36.02
1129,2016-01-04 08:00:00,LZ_LCRA,24.74
1143,2016-01-04 09:00:00,LZ_LCRA,24.1
1157,2016-01-04 10:00:00,LZ_LCRA,21.87
1171,2016-01-04 11:00:00,LZ_LCRA,20.28
1185,2016-01-04 12:00:00,LZ_LCRA,19.06
1199,2016-01-04 13:00:00,LZ_LCRA,17.52
1213,2016-01-04 14:00:00,LZ_LCRA,16.45
