,Date,SettlementPoint,Price
11,2016-01-01 00:00:00,LZ_RAYBN,18.43
25,2016-01-01 01:00:00,LZ_RAYBN,16.17
39,2016-01-01 02:00:00,LZ_RAYBN,15.64
53,2016-01-01 03:00:00,LZ_RAYBN,15.65
67,2016-01-01 04:00:00,LZ_RAYBN,15.97
81,2016-01-01 05:00:00,LZ_RAYBN,16.74
95,2016-01-01 06:00:00,LZ_RAYBN,18.98
109,2016-01-01 07:00:00,LZ_RAYBN,19.19
123,2016-01-01 08:00:00,LZ_RAYBN,19.11
137,2016-01-01 09:00:00,LZ_RAYBN,19.69
151,2016-01-01 10:00:00,LZ_RAYBN,20.61
165,2016-01-01 11:00:00,LZ_RAYBN,20.6
179,2016-01-01 12:00:00,LZ_RAYBN,20.32
193,2016-01-01 13:00:00,LZ_RAYBN,20.06
207,2016-01-01 14:00:00,LZ_RAYBN,19.1
221,2016-01-01 15:00:00,LZ_RAYBN,19.35
235,2016-01-01 16:00:00,LZ_RAYBN,20.05
249,2016-01-01 17:00:00,LZ_RAYBN,24.93
263,2016-01-01 18:00:00,LZ_RAYBN,26.23
277,2016-01-01 19:00:00,LZ_RAYBN,23.24
291,2016-01-01 20:00:00,LZ_RAYBN,22.79
305,2016-01-01 21:00:00,LZ_RAYBN,21.37
319,2016-01-01 22:00:00,LZ_RAYBN,20.33
333,2016-01-01 23:00:00,LZ_RAYBN,19.66
347,2016-01-02 00:00:00,LZ_RAYBN,19.0
361,2016-01-02 01:00:00,LZ_RAYBN,17.95
375,2016-01-02 02:00:00,LZ_RAYBN,17.17
389,2016-01-02 03:00:00,LZ_RAYBN,17.01
403,2016-01-02 04:00:00,LZ_RAYBN,17.91
417,2016-01-02 05:00:00,LZ_RAYBN,17.66
431,2016-01-02 06:00:00,LZ_RAYBN,20.1
445,2016-01-02 07:00:00,LZ_RAYBN,21.33
459,2016-01-02 08:00:00,LZ_RAYBN,23.43
473,2016-01-02 09:00:00,LZ_RAYBN,24.91
487,2016-01-02 10:00:00,LZ_RAYBN,23.4
501,2016-01-02 11:00:00,LZ_RAYBN,21.81
515,2016-01-02 12:00:00,LZ_RAYBN,20.78
529,2016-01-02 13:00:00,LZ_RAYBN,19.68
543,2016-01-02 14:00:00,LZ_RAYBN,18.29
557,2016-01-02 15:00:00,LZ_RAYBN,17.95
571,2016-01-02 16:00:00,LZ_RAYBN,19.34
585,2016-01-02 17:00:00,LZ_RAYBN,23.49
599,2016-01-02 18:00:00,LZ_RAYBN,23.48
613,2016-01-02 19:00:00,LZ_RAYBN,21.72
627,2016-01-02 20:00:00,LZ_RAYBN,20.73
641,2016-01-02 21:00:00,LZ_RAYBN,19.97
655,2016-01-02 22:00:00,LZ_RAYBN,19.87
669,2016-01-02 23:00:00,LZ_RAYBN,18.43
683,2016-01-03 00:00:00,LZ_RAYBN,17.44
697,2016-01-03 01:00:00,LZ_RAYBN,16.46
711,2016-01-03 02:00:00,LZ_RAYBN,16.18
725,2016-01-03 03:00:00,LZ_RAYBN,16.36
739,2016-01-03 04:00:00,LZ_RAYBN,17.01
753,2016-01-03 05:00:00,LZ_RAYBN,17.7
767,2016-01-03 06:00:00,LZ_RAYBN,19.28
781,2016-01-03 07:00:00,LZ_RAYBN,20.04
795,2016-01-03 08:00:00,LZ_RAYBN,20.17
809,2016-01-03 09:00:00,LZ_RAYBN,20.22
823,2016-01-03 10:00:00,LZ_RAYBN,19.85
837,2016-01-03 11:00:00,LZ_RAYBN,18.66
851,2016-01-03 12:00:00,LZ_RAYBN,17.14
865,2016-01-03 13:00:00,LZ_RAYBN,16.33
879,2016-01-03 14:00:00,LZ_RAYBN,16.04
893,2016-01-03 15:00:00,LZ_RAYBN,15.97
907,2016-01-03 16:00:00,LZ_RAYBN,16.98
921,2016-01-03 17:00:00,LZ_RAYBN,21.27
935,2016-01-03 18:00:00,LZ_RAYBN,21.89
949,2016-01-03 19:00:00,LZ_RAYBN,20.89
963,2016-01-03 20:00:00,LZ_RAYBN,20.25
977,2016-01-03 21:00:00,LZ_RAYBN,19.69
991,2016-01-03 22:00:00,LZ_RAYBN,18.78
1005,2016-01-03 23:00:00,LZ_RAYBN,18.15
1019,2016-01-04 00:00:00,LZ_RAYBN,17.01
1033,2016-01-04 01:00:00,LZ_RAYBN,17.08
1047,2016-01-04 02:00:00,LZ_RAYBN,17.47
1061,2016-01-04 03:00:00,LZ_RAYBN,18.0
1075,2016-01-04 04:00:00,LZ_RAYBN,19.34
1089,2016-01-04 05:00:00,LZ_RAYBN,21.77
1103,2016-01-04 06:00:00,LZ_RAYBN,53.9
1117,2016-01-04 07:00:00,LZ_RAYBN,35.96
1131,2016-01-04 08:00:00,LZ_RAYBN,24.55
1145,2016-01-04 09:00:00,LZ_RAYBN,23.88
1159,2016-01-04 10:00:00,LZ_RAYBN,21.86
1173,2016-01-04 11:00:00,LZ_RAYBN,20.26
1187,2016-01-04 12:00:00,LZ_RAYBN,19.03
1201,2016-01-04 13:00:00,LZ_RAYBN,17.5
1215,2016-01-04 14:00:00,LZ_RAYBN,16.43
1229,2016-01-04 15:00:00,LZ_RAYBN,16.51
1243,2016-01-04 16:00:00,LZ_RAYBN,17.43
1257,2016-01-04 17:00:00,LZ_RAYBN,23.05
1271,2016-01-04 18:00:00,LZ_RAYBN,27.47
1285,2016-01-04 19:00:00,LZ_RAYBN,22.96
1299,2016-01-04 20:00:00,LZ_RAYBN,22.67
1313,2016-01-04 21:00:00,LZ_RAYBN,21.57
1327,2016-01-04 22:00:00,LZ_RAYBN,20.39
1341,2016-01-04 23:00:00,LZ_RAYBN,18.73
1355,2016-01-05 00:00:00,LZ_RAYBN,15.89
1369,2016-01-05 01:00:00,LZ_RAYBN,15.88
1383,2016-01-05 02:00:00,LZ_RAYBN,16.0
1397,2016-01-05 03:00:00,LZ_RAYBN,16.5
1411,2016-01-05 04:00:00,LZ_RAYBN,18.0
1425,2016-01-05 05:00:00,LZ_RAYBN,21.23
1439,2016-01-05 06:00:00,LZ_RAYBN,49.08
1453,2016-01-05 07:00:00,LZ_RAYBN,30.06
1467,2016-01-05 08:00:00,LZ_RAYBN,23.11
1481,2016-01-05 09:00:00,LZ_RAYBN,22.76
1495,2016-01-05 10:00:00,LZ_RAYBN,21.51
1509,2016-01-05 11:00:00,LZ_RAYBN,20.6
1523,2016-01-05 12:00:00,LZ_RAYBN,19.74
1537,2016-01-05 13:00:00,LZ_RAYBN,19.07
1551,2016-01-05 14:00:00,LZ_RAYBN,18.01
1565,2016-01-05 15:00:00,LZ_RAYBN,17.63
1579,2016-01-05 16:00:00,LZ_RAYBN,18.49
1593,2016-01-05 17:00:00,LZ_RAYBN,22.69
1607,2016-01-05 18:00:00,LZ_RAYBN,22.79
1621,2016-01-05 19:00:00,LZ_RAYBN,21.99
1635,2016-01-05 20:00:00,LZ_RAYBN,21.01
1649,2016-01-05 21:00:00,LZ_RAYBN,19.64
1663,2016-01-05 22:00:00,LZ_RAYBN,18.61
1677,2016-01-05 23:00:00,LZ_RAYBN,17.11
1691,2016-01-06 00:00:00,LZ_RAYBN,12.6
1705,2016-01-06 01:00:00,LZ_RAYBN,10.69
1719,2016-01-06 02:00:00,LZ_RAYBN,10.28
1733,2016-01-06 03:00:00,LZ_RAYBN,11.67
1747,2016-01-06 04:00:00,LZ_RAYBN,13.68
1761,2016-01-06 05:00:00,LZ_RAYBN,17.35
1775,2016-01-06 06:00:00,LZ_RAYBN,23.41
1789,2016-01-06 07:00:00,LZ_RAYBN,21.77
1803,2016-01-06 08:00:00,LZ_RAYBN,20.5
1817,2016-01-06 09:00:00,LZ_RAYBN,20.44
1831,2016-01-06 10:00:00,LZ_RAYBN,20.83
1845,2016-01-06 11:00:00,LZ_RAYBN,19.7
1859,2016-01-06 12:00:00,LZ_RAYBN,18.66
1873,2016-01-06 13:00:00,LZ_RAYBN,18.86
1887,2016-01-06 14:00:00,LZ_RAYBN,18.48
1901,2016-01-06 15:00:00,LZ_RAYBN,17.66
1915,2016-01-06 16:00:00,LZ_RAYBN,18.43
1929,2016-01-06 17:00:00,LZ_RAYBN,24.96
1943,2016-01-06 18:00:00,LZ_RAYBN,24.23
1957,2016-01-06 19:00:00,LZ_RAYBN,21.39
1971,2016-01-06 20:00:00,LZ_RAYBN,19.98
1985,2016-01-06 21:00:00,LZ_RAYBN,18.64
1999,2016-01-06 22:00:00,LZ_RAYBN,16.82
2013,2016-01-06 23:00:00,LZ_RAYBN,15.64
2027,2016-01-07 00:00:00,LZ_RAYBN,14.43
2041,2016-01-07 01:00:00,LZ_RAYBN,11.11
2055,2016-01-07 02:00:00,LZ_RAYBN,10.67
2069,2016-01-07 03:00:00,LZ_RAYBN,11.0
2083,2016-01-07 04:00:00,LZ_RAYBN,12.74
2097,2016-01-07 05:00:00,LZ_RAYBN,14.96
2111,2016-01-07 06:00:00,LZ_RAYBN,21.41
2125,2016-01-07 07:00:00,LZ_RAYBN,21.5
2139,2016-01-07 08:00:00,LZ_RAYBN,19.92
2153,2016-01-07 09:00:00,LZ_RAYBN,19.63
2167,2016-01-07 10:00:00,LZ_RAYBN,19.81
2181,2016-01-07 11:00:00,LZ_RAYBN,16.79
2195,2016-01-07 12:00:00,LZ_RAYBN,16.56
2209,2016-01-07 13:00:00,LZ_RAYBN,16.31
2223,2016-01-07 14:00:00,LZ_RAYBN,15.65
2237,2016-01-07 15:00:00,LZ_RAYBN,15.66
2251,2016-01-07 16:00:00,LZ_RAYBN,16.19
2265,2016-01-07 17:00:00,LZ_RAYBN,22.92
2279,2016-01-07 18:00:00,LZ_RAYBN,22.17
2293,2016-01-07 19:00:00,LZ_RAYBN,20.78
2307,2016-01-07 20:00:00,LZ_RAYBN,19.71
2321,2016-01-07 21:00:00,LZ_RAYBN,17.94
2335,2016-01-07 22:00:00,LZ_RAYBN,15.85
2349,2016-01-07 23:00:00,LZ_RAYBN,14.82
2363,2016-01-08 00:00:00,LZ_RAYBN,15.45
2377,2016-01-08 01:00:00,LZ_RAYBN,14.04
2391,2016-01-08 02:00:00,LZ_RAYBN,14.04
2405,2016-01-08 03:00:00,LZ_RAYBN,14.04
2419,2016-01-08 04:00:00,LZ_RAYBN,15.11
2433,2016-01-08 05:00:00,LZ_RAYBN,17.54
2447,2016-01-08 06:00:00,LZ_RAYBN,22.81
2461,2016-01-08 07:00:00,LZ_RAYBN,22.39
