,Date,SettlementPoint,Price
12,2016-01-01 00:00:00,LZ_SOUTH,18.22
26,2016-01-01 01:00:00,LZ_SOUTH,15.91
40,2016-01-01 02:00:00,LZ_SOUTH,15.25
54,2016-01-01 03:00:00,LZ_SOUTH,15.23
68,2016-01-01 04:00:00,LZ_SOUTH,15.58
82,2016-01-01 05:00:00,LZ_SOUTH,16.09
96,2016-01-01 06:00:00,LZ_SOUTH,18.87
110,2016-01-01 07:00:00,LZ_SOUTH,19.19
124,2016-01-01 08:00:00,LZ_SOUTH,19.08
138,2016-01-01 09:00:00,LZ_SOUTH,19.62
152,2016-01-01 10:00:00,LZ_SOUTH,20.7
166,2016-01-01 11:00:00,LZ_SOUTH,21.2
180,2016-01-01 12:00:00,LZ_SOUTH,21.03
194,2016-01-01 13:00:00,LZ_SOUTH,21.14
208,2016-01-01 14:00:00,LZ_SOUTH,20.62
222,2016-01-01 15:00:00,LZ_SOUTH,20.72
236,2016-01-01 16:00:00,LZ_SOUTH,21.47
250,2016-01-01 17:00:00,LZ_SOUTH,26.31
264,2016-01-01 18:00:00,LZ_SOUTH,26.07
278,2016-01-01 19:00:00,LZ_SOUTH,23.1
292,2016-01-01 20:00:00,LZ_SOUTH,22.72
306,2016-01-01 21:00:00,LZ_SOUTH,21.36
320,2016-01-01 22:00:00,LZ_SOUTH,20.09
334,2016-01-01 23:00:00,LZ_SOUTH,19.44
348,2016-01-02 00:00:00,LZ_SOUTH,18.89
362,2016-01-02 01:00:00,LZ_SOUTH,17.93
376,2016-01-02 02:00:00,LZ_SOUTH,17.03
390,2016-01-02 03:00:00,LZ_SOUTH,16.87
404,2016-01-02 04:00:00,LZ_SOUTH,17.82
418,2016-01-02 05:00:00,LZ_SOUTH,17.54
432,2016-01-02 06:00:00,LZ_SOUTH,20.11
446,2016-01-02 07:00:00,LZ_SOUTH,21.24
460,2016-01-02 08:00:00,LZ_SOUTH,23.13
474,2016-01-02 09:00:00,LZ_SOUTH,24.47
488,2016-01-02 10:00:00,LZ_SOUTH,23.1
502,2016-01-02 11:00:00,LZ_SOUTH,21.73
516,2016-01-02 12:00:00,LZ_SOUTH,20.72
530,2016-01-02 13:00:00,LZ_SOUTH,19.73
544,2016-01-02 14:00:00,LZ_SOUTH,18.28
558,2016-01-02 15:00:00,LZ_SOUTH,17.91
572,2016-01-02 16:00:00,LZ_SOUTH,19.38
586,2016-01-02 17:00:00,LZ_SOUTH,23.24
600,2016-01-02 18:00:00,LZ_SOUTH,23.37
614,2016-01-02 19:00:00,LZ_SOUTH,21.67
628,2016-01-02 20:00:00,LZ_SOUTH,20.75
642,2016-01-02 21:00:00,LZ_SOUTH,20.0
656,2016-01-02 22:00:00,LZ_SOUTH,19.89
670,2016-01-02 23:00:00,LZ_SOUTH,18.35
684,2016-01-03 00:00:00,LZ_SOUTH,17.47
698,2016-01-03 01:00:00,LZ_SOUTH,16.47
712,2016-01-03 02:00:00,LZ_SOUTH,16.21
726,2016-01-03 03:00:00,LZ_SOUTH,16.38
740,2016-01-03 04:00:00,LZ_SOUTH,17.03
754,2016-01-03 05:00:00,LZ_SOUTH,17.72
768,2016-01-03 06:00:00,LZ_SOUTH,19.3
782,2016-01-03 07:00:00,LZ_SOUTH,20.06
796,2016-01-03 08:00:00,LZ_SOUTH,20.2
810,2016-01-03 09:00:00,LZ_SOUTH,20.24
824,2016-01-03 10:00:00,LZ_SOUTH,19.89
838,2016-01-03 11:00:00,LZ_SOUTH,18.7
852,2016-01-03 12:00:00,LZ_SOUTH,17.17
866,2016-01-03 13:00:00,LZ_SOUTH,16.36
880,2016-01-03 14:00:00,LZ_SOUTH,16.06
894,2016-01-03 15:00:00,LZ_SOUTH,15.99
908,2016-01-03 16:00:00,LZ_SOUTH,17.01
922,2016-01-03 17:00:00,LZ_SOUTH,21.22
936,2016-01-03 18:00:00,LZ_SOUTH,21.84
950,2016-01-03 19:00:00,LZ_SOUTH,20.94
964,2016-01-03 20:00:00,LZ_SOUTH,20.36
978,2016-01-03 21:00:00,LZ_SOUTH,19.85
992,2016-01-03 22:00:00,LZ_SOUTH,18.83
1006,2016-01-03 23:00:00,LZ_SOUTH,18.18
1020,2016-01-04 00:00:00,LZ_SOUTH,17.05
